"Gene name","Entry","Entry name","Adenoma","stage I","stage II","stage III","stage IV"
"EPX","P11678","PERE_HUMAN",1.358,0.498,0.449,1,1
"ADH1B","P00325","ADH1B_HUMAN",0.622,1,0.447,0.545,1
"RPS15","P62841","RS15_HUMAN",1,1,0.438,1,1
"PADI2","Q9Y2J8","PADI2_HUMAN",1,0.648,0.437,0.564,1
"IGHA2","P01877","IGHA2_HUMAN",1,1,0.436,0.47,1
"ITLN1","Q8WWA0","ITLN1_HUMAN",1,0.552,0.431,1,1
"PIGR","P01833","PIGR_HUMAN",1.232,1.231,0.431,1,1
"LGALS4","P56470","LEG4_HUMAN",0.749,0.701,0.423,0.399,1
"SULT1B1","O43704","ST1B1_HUMAN",1,1,0.409,1,1
"RNASE2","P10153","RNAS2_HUMAN",1,0.363,0.393,0.472,1
"TPSAB1","Q15661","TRYB1_HUMAN",1,1,0.388,0.548,1
"CTSC","P53634","CATC_HUMAN",1,0.502,0.384,1,1
"KRT20","P35900","K1C20_HUMAN",1,0.567,0.373,0.387,1
"ADH1C","P00326","ADH1G_HUMAN",1,0.28,0.368,0.318,1
"NMES1","Q9C002","NMES1_HUMAN",1,0.54,0.366,0.542,1
"CLC","Q05315","LEG10_HUMAN",1,0.46,0.363,1,1
"SELENBP1","Q13228","SBP1_HUMAN",1.393,1,0.361,0.534,1.43
"AGR2","O95994","AGR2_HUMAN",0.793,0.706,0.358,0.592,1
"AKR1B10","O60218","AK1BA_HUMAN",1,0.657,0.331,0.516,1
"UGT2B17","O75795","UDB17_HUMAN",1,0.26,0.322,0.631,1
"UGT2B15","P54855","UDB15_HUMAN",1,1,0.321,1,1
"ST6GALNAC1","Q9NSC7","SIA7A_HUMAN",1,1,0.318,0.596,1
"FCGBP","Q9Y6R7","FCGBP_HUMAN",1.413,0.319,0.31,0.451,2.08
"TFF3","Q07654","TFF3_HUMAN",1.55,0.442,0.306,1,1
"CA2","P00918","CAH2_HUMAN",0.726,0.328,0.301,0.46,1
"MUC2","Q02817","MUC2_HUMAN",1.246,0.381,0.293,1,1
"CLCA1","A8K7I4","CLCA1_HUMAN",1.352,0.807,0.29,0.51,1
"ZG16","O60844","ZG16_HUMAN",0.74,0.361,0.284,0.46,1
"FABP1","P07148","FABPL_HUMAN",1,0.633,0.258,0.465,1
"TNC","P24821","TENA_HUMAN",1,1,0.24,1.701,1
"FUCA1","P04066","FUCO_HUMAN",0.574,0.28,0.199,0.254,0.535
"ABHD10","Q9NUJ1","ABHDA_HUMAN",1.464,1.691,1,1,1
"ACADVL","P49748","ACADV_HUMAN",1,1.49,1,1,1
"ACAT2","Q9BWD1","THIC_HUMAN",1,0.673,1,1,1
"ACLY","P53396","ACLY_HUMAN",1,1,1,1.398,1
"ACO2","Q99798","ACON_HUMAN",1.459,1.364,1,1,1
"ACTA1","P68133","ACTS_HUMAN",1,1,1,1.735,1
"ACTB","P60709","ACTB_HUMAN",0.83,1,1,1.341,1
"ACTR2","P61160","ARP2_HUMAN",1,1,1,1.385,1
"ANXA1","P04083","ANXA1_HUMAN",1,1,1,1.401,1
"ANXA3","P12429","ANXA3_HUMAN",1,1.719,1,1.53,1
"ANXA4","P09525","ANXA4_HUMAN",1.298,1,1,1,1
"AOC3","Q16853","AOC3_HUMAN",0.473,0.571,1,0.579,0.461
"APCS","P02743","SAMP_HUMAN",0.62,1,1,1,1
"APEX1","P27695","APEX1_HUMAN",1.448,1,1,1,1
"APOA1","P02647","APOA1_HUMAN",1,1,1,1.495,0.7
"ASAH1","Q13510","ASAH1_HUMAN",1,1,1,1,1
"ATIC","P31939","PUR9_HUMAN",1,1.28,1,1,1
"ATP5A1","P25705","ATPA_HUMAN",1.485,1,1,1,1
"ATP5H","O75947","ATP5H_HUMAN",1.438,1,1,1,1
"BCAR1","P56945","BCAR1_HUMAN",1,1,1,1.593,1
"BCLAF1","Q9NYF8","BCLF1_HUMAN",1,1,1,1.552,1
"BDH1","Q02338","BDH_HUMAN",1.575,1,1,1,1
"BPHL","Q86WA6","BPHL_HUMAN",1,1.677,1,1,1
"C11","Q9H0W9","CK054_HUMAN",1,0.653,1,1,1
"C1QBP","Q07021","C1QBP_HUMAN",1.501,1,1,1,1
"C21","P30042","ES1_HUMAN",1.385,1,1,1,1
"C3","P01024","CO3_HUMAN",0.748,1,1,1,1
"C4BPA","P04003","C4BPA_HUMAN",1,1.554,1,1,1
"CAD","P27708","PYR1_HUMAN",1,1,1,1.445,1
"CADPS","Q9ULU8","CAPS1_HUMAN",2.028,1,1,1,1
"CANX","P27824","CALX_HUMAN",1,1,1,1.482,1
"CAPG","P40121","CAPG_HUMAN",1,1.553,1,1,1
"CCT2","P78371","TCPB_HUMAN",1,1,1,1.244,1
"CCT3","P49368","TCPG_HUMAN",1,1,1,1.348,1
"CDC2","P06493","CDK1_HUMAN",1,1,1,2.088,1
"CDC42","P60953","CDC42_HUMAN",1,1,1,1.521,1
"CHD4","Q14839","CHD4_HUMAN",1,1,1,2.031,1
"CHDH","Q8NE62","CHDH_HUMAN",1.662,1,1,1,1
"CHDH","Q8NE62","CHDH_HUMAN",1,1.41,1,1,1
"CHGA","P10645","CMGA_HUMAN",0.34,1,1,1,1
"CMPK1","P30085","KCY_HUMAN",1.387,1.264,1,1,1
"CNN2","Q99439","CNN2_HUMAN",1,1,1,1.645,1
"COL11A2","P13942","COBA2_HUMAN",1,1,1,0.342,1
"COL14A1","Q05707","COEA1_HUMAN",0.355,0.669,1,0.564,0.499
"COL2A1","P02458","CO2A1_HUMAN",0.413,1,1,0.559,1
"COL3A1","P02461","CO3A1_HUMAN",0.237,0.641,1,0.388,1
"COL5A1","P20908","CO5A1_HUMAN",0.35,1,1,1,1
"COL6A1","P12109","CO6A1_HUMAN",1,0.769,1,1,0.684
"COL6A2","P12110","CO6A2_HUMAN",0.692,0.706,1,1,0.592
"COMT","P21964","COMT_HUMAN",1.635,1,1,1,1.65
"COX4I1","P13073","COX41_HUMAN",1.784,1,1,1,1
"COX6A1","P12074","CX6A1_HUMAN",1.349,1,1,1,1
"CP","P00450","CERU_HUMAN",0.724,1,1,1,1
"CPS1","P31327","CPSM_HUMAN",1,2.167,1,1,1
"CS","O75390","CISY_HUMAN",1,1.319,1,1,1
"CSTF2T","Q9H0L4","CSTFT_HUMAN",0.616,1,1,1,1
"CTNNB1","P35222","CTNB1_HUMAN",1,1.444,1,1,1
"CTSB","P07858","CATB_HUMAN",1.45,1,1,1,1
"CTSG","P08311","CATG_HUMAN",1,1,1,1.708,0.628
"CTTN","Q14247","SRC8_HUMAN",1,1,1,1.755,1
"CYC1","P08574","CY1_HUMAN",1.864,1,1,1,1
"DBNL","Q9UJU6","DBNL_HUMAN",1,1,1,1.426,1
"DCN","P07585","PGS2_HUMAN",0.613,0.561,1,0.554,0.574
"DENND4C","Q5VZ89","DEN4C_HUMAN",1.707,1,1,1,1
"DMBT1","Q9UGM3","DMBT1_HUMAN",1,4.238,1,1,1
"DPP7","Q9UHL4","DPP2_HUMAN",1,0.631,1,1,1
"DSG2","Q14126","DSG2_HUMAN",1,1.465,1,1,1
"DSP","P15924","DESP_HUMAN",1,1.34,1,1,1
"DYNC1H1","Q14204","DYHC1_HUMAN",1.275,1,1,1,1
"EEF1A1","P68104","EF1A1_HUMAN",1.296,1,1,1,1
"EEF1D","P29692","EF1D_HUMAN",1,1,1,1.519,1
"EEF1G","P26641","EF1G_HUMAN",1,0.755,1,1.46,1
"EHD2","Q9NZN4","EHD2_HUMAN",1,0.769,1,1,1
"EHHADH","Q08426","ECHP_HUMAN",1,1,1,0.529,1
"ENO1","P06733","ENOA_HUMAN",1,1,1,1.338,1
"EPRS","P07814","SYEP_HUMAN",1.406,1,1,1,1
"ERAP1","Q9NZ08","ERAP1_HUMAN",1,0.757,1,1,1
"ERAP2","Q6P179","ERAP2_HUMAN",1,1,1,1.528,1
"ERP44","Q9BS26","ERP44_HUMAN",1.595,1,1,1,1
"ETFB","P38117","ETFB_HUMAN",1.597,1,1,1,1
"F13A1","P00488","F13A_HUMAN",0.422,1,1,0.625,1
"F2","P00734","THRB_HUMAN",1.383,1,1,1,1
"FAM129A","Q9BZQ8","NIBAN_HUMAN",0.681,1,1,1,1
"FASN","P49327","FAS_HUMAN",1,1,1,1,1.41
"FBL","P22087","FBRL_HUMAN",1.602,1,1,1,1
"FDFT1","P37268","FDFT_HUMAN",1,1,1,0.593,1
"FGG","P02679","FIBG_HUMAN",1,1,1,1.428,1
"FHL1","Q13642","FHL1_HUMAN",1,0.511,1,1,1
"FHL2","Q14192","FHL2_HUMAN",1,1,1,1.55,1
"FKBP1A","P62942","FKB1A_HUMAN",1,1,1,1.629,1
"GBAS","O75323","NIPS2_HUMAN",1,1.585,1,1,1
"GCS1","Q13724","MOGS_HUMAN",1,1,1,1,1.64
"GNA11","P29992","GNA11_HUMAN",1,1,1,0.594,1
"GOT2","P00505","AATM_HUMAN",1.312,1,1,1,1
"GPX2","P18283","GPX2_HUMAN",1,1.459,1,1,1
"H2AFX","P16104","H2AX_HUMAN",1,0.726,1,0.531,1
"H2AFY","O75367","H2AY_HUMAN",1.273,1,1,1,1
"H3F3C","Q6NXT2","H3C_HUMAN",1,0.576,1,1,1
"HDLBP","Q00341","VIGLN_HUMAN",1,1,1,1,1.67
"HIST1H1C","P16403","H12_HUMAN",1,1,1,1.391,1
"HIST1H2AA","Q96QV6","H2A1A_HUMAN",1,1,1,0.551,1
"HIST1H2BA","Q96A08","H2B1A_HUMAN",1,1,1,2.673,1
"HLA","P05534","1A24_HUMAN",1,0.527,1,1,1
"HLA","P01903","DRA_HUMAN",1,0.543,1,1,1
"HLA-C","P30508","1C12_HUMAN",1,1,1,0.589,1
"HLA-C","P30504","1C04_HUMAN",1,1,1,2.49,1
"HLA-DRA","P01903","DRA_HUMAN",1,1,1,1.605,1
"HLA-DRB1","P01911","2B1F_HUMAN",1,1,1,0.321,1
"HLA-DRB1","P13760","2B14_HUMAN",1,1,1,2.633,1
"HLA-DRB1","P20039","2B1B_HUMAN",1,1,1,6.784,1
"HMGA2","P52926","HMGA2_HUMAN",1,1,1,3.339,1
"HP","P00738","HPT_HUMAN",1,0.507,1,1,1
"HPX","P02790","HEMO_HUMAN",0.76,1,1,1,1
"HSD17B10","Q99714","HCD2_HUMAN",1,1.259,1,1,1
"HSPA2","P54652","HSP72_HUMAN",1,1.656,1,1,1
"HYOU1","Q9Y4L1","HYOU1_HUMAN",1,0.685,1,1,1
"IARS2","Q9NSE4","SYIM_HUMAN",1.471,1,1,1,1
"IDH2","P48735","IDHP_HUMAN",1.249,1.307,1,1,1
"IGHG1","P01857","IGHG1_HUMAN",1,1,1,1.516,1
"IGHG3","P01860","IGHG3_HUMAN",1,1.699,1,1,1
"IGHG4","P01861","IGHG4_HUMAN",1,1,1,1.544,1
"IGKC","P01834","IGKC_HUMAN",0.704,1,1,1,1
"ILF3","Q12906","ILF3_HUMAN",1.503,1,1,1,1
"INTS5","Q6P9B9","INT5_HUMAN",1,1,1,0.582,1
"KIAA0564","A3KMH1","VWA8_HUMAN",1.335,1,1,1,1
"KLC4","Q9NSK0","KLC4_HUMAN",1,1,1,0.479,1
"KRT18","P05783","K1C18_HUMAN",1.309,1.202,1,1,1.62
"KRT72","Q14CN4","K2C72_HUMAN",0.619,1,1,1,1
"LAMA4","Q16363","LAMA4_HUMAN",1,1,1,1,0.672
"LAP3","P28838","AMPL_HUMAN",1,1,1,1.695,1
"LASP1","Q14847","LASP1_HUMAN",1,1,1,1.461,1
"LCN2","P80188","NGAL_HUMAN",1,1.683,1,2.078,1.9
"LDHA","P00338","LDHA_HUMAN",1,1,1,1.831,1
"LDHB","P07195","LDHB_HUMAN",1,1,1,1.547,1
"LGALS3BP","Q08380","LG3BP_HUMAN",1,1,1,1.477,1
"LMAN2","Q12907","LMAN2_HUMAN",1,0.632,1,1,1
"LONP1","P36776","LONM_HUMAN",1,1.39,1,1,1
"LPP","Q93052","LPP_HUMAN",1,1,1,1,1
"LTF","P02788","TRFL_HUMAN",1.403,1.727,1,3.388,1
"LUM","P51884","LUM_HUMAN",0.559,0.558,1,0.638,0.391
"LYZ","P61626","LYSC_HUMAN",1,1,1,1.513,1
"MCAM","P43121","MUC18_HUMAN",0.669,1,1,1,1
"MCM6","Q14566","MCM6_HUMAN",1,1,1,1.67,1
"MDH1","P40925","MDHC_HUMAN",1,1,1,1,0.713
"MIF","P14174","MIF_HUMAN",1.418,1,1,1,1
"MPO","P05164","PERM_HUMAN",1.514,1.669,1,2.199,1
"MRPL44","Q9H9J2","RM44_HUMAN",1.442,1,1,1,1
"MSN","P26038","MOES_HUMAN",1,1,1,1,0.732
"MTTP","P55157","MTP_HUMAN",1,1,1,0.647,1
"MYO7A","Q13402","MYO7A_HUMAN",1.702,1,1,1,1
"NAMPT","P43490","NAMPT_HUMAN",1,1,1,1.519,1
"NARS","O43776","SYNC_HUMAN",1.457,1,1,1,1
"NDUFA13","Q9P0J0","NDUAD_HUMAN",1,0.649,1,1,1
"NDUFB8","O95169","NDUB8_HUMAN",1,0.693,1,1,1
"NIPSNAP1","Q9BPW8","NIPS1_HUMAN",1,1.358,1,1,1
"NIPSNAP3A","Q9UFN0","NPS3A_HUMAN",1,1.649,1,1,1
"NQO1","P15559","NQO1_HUMAN",1,1.52,1,1,1
"NSUN2","Q08J23","NSUN2_HUMAN",1,1,1,1.649,1
"NUP188","Q5SRE5","NU188_HUMAN",1,0.631,1,1,1
"OAS3","Q9Y6K5","OAS3_HUMAN",1,1,1,1.37,1
"OGN","P20774","MIME_HUMAN",0.469,0.412,1,0.415,0.566
"PABPC4","Q13310","PABP4_HUMAN",1,1,1,1.374,1
"PAICS","P22234","PUR6_HUMAN",1,1,1,1,1.51
"PARP14","Q460N5","PAR14_HUMAN",1,1,1,1.541,1
"PDLIM1","O00151","PDLI1_HUMAN",1,0.709,1,1,1
"PEX1","O43933","PEX1_HUMAN",0.708,1,1,1,1
"PHB2","Q99623","PHB2_HUMAN",1,1.252,1,1,1
"PKM2","P14618","KPYM_HUMAN",1,1,1,1.31,1.65
"PLEC1","Q15149","PLEC_HUMAN",1,1,1,1,1.19
"PPA1","Q15181","IPYR_HUMAN",1,1.553,1,1,1
"PPA2","Q9H2U2","IPYR2_HUMAN",1,1.726,1,1,1
"PRDX1","Q06830","PRDX1_HUMAN",1.653,1,1,1.28,1
"PRDX3","P30048","PRDX3_HUMAN",1,1.534,1,1,1
"PRDX6","P30041","PRDX6_HUMAN",1,0.764,1,1,0.704
"PRSS12","P56730","NETR_HUMAN",0.493,1,1,1,1
"PTGES3","Q15185","TEBP_HUMAN",1,0.709,1,1.441,1
"PYGM","P11217","PYGM_HUMAN",1,1.637,1,1,1
"RAN","P62826","RAN_HUMAN",1,1,1,1.655,1
"RCN1","Q15293","RCN1_HUMAN",1,1,1,1.507,1
"RCN3","Q96D15","RCN3_HUMAN",1,1,1,1.489,1
"RHOA","P61586","RHOA_HUMAN",1,1,1,2.097,1
"RNF213","Q63HN8","RN213_HUMAN",1,1,1,1.528,1
"RNPEP","Q9H4A4","AMPB_HUMAN",1.338,1,1,1,1
"RPL13A","P40429","RL13A_HUMAN",0.666,1,1,1,1
"RPL38","P63173","RL38_HUMAN",1,0.584,1,1,1
"RPL5","P46777","RL5_HUMAN",1,1,1,1.402,1
"RPL6","Q02878","RL6_HUMAN",1,1,1,1.311,1
"RPL8","P62917","RL8_HUMAN",1.886,1,1,1,1
"RPS14","P62263","RS14_HUMAN",1,1,1,1.417,1
"RPS27A","P62979","RS27A_HUMAN",1,1,1,1.382,1
"RPS3A","P61247","RS3A_HUMAN",1,0.696,1,1,1
"RPS4X","P62701","RS4X_HUMAN",1.59,0.78,1,1,1
"S100A14","Q9HCY8","S10AE_HUMAN",1,0.662,1,1,1
"S100A6","P06703","S10A6_HUMAN",1.312,1,1,1.559,1
"S100A8","P05109","S10A8_HUMAN",1.49,1.568,1,3.693,1
"S100A9","P06702","S10A9_HUMAN",1.508,1.855,1,3.625,1
"SAFB","Q15424","SAFB1_HUMAN",1,1,1,1.651,1
"SAMM50","Q9Y512","SAM50_HUMAN",1,1.568,1,1,1
"SARS","P49591","SYSC_HUMAN",1,0.755,1,1,1
"SDHA","P31040","SDHA_HUMAN",1.222,1.345,1,1,1
"SERBP1","Q8NC51","PAIRB_HUMAN",1,1,1,1.728,1
"SERPINA1","P01009","A1AT_HUMAN",0.556,0.832,1,1,0.646
"SET","Q01105","SET_HUMAN",1,1,1,1.405,1
"SF3B2","Q13435","SF3B2_HUMAN",1,1,1,1.319,1
"SFPQ","P23246","SFPQ_HUMAN",1,1,1,1.251,1
"SFRS3","P84103","SRSF3_HUMAN",1,1,1,1.393,1
"SHMT2","P34897","GLYM_HUMAN",1,1,1,1.442,1
"SKIV2L2","P42285","SK2L2_HUMAN",1,1,1,1.407,1
"SLC12A2","P55011","S12A2_HUMAN",1.443,1.623,1,1,1
"SLC1A5","Q15758","AAAT_HUMAN",0.678,1,1,1,1
"SLC25A24","Q6NUK1","SCMC1_HUMAN",1,1.47,1,1,1
"SLC25A3","Q00325","MPCP_HUMAN",1,1.249,1,1,1
"SOD1","P00441","SODC_HUMAN",1,1,1,1.534,1
"SOD2","P04179","SODM_HUMAN",1.304,1.319,1,1.568,1
"SON","P18583","SON_HUMAN",0.67,1,1,1,1
"SRI","P30626","SORCN_HUMAN",1,1.382,1,1,1
"STAT1","P42224","STAT1_HUMAN",1,1,1,1.669,1
"SUCLA2","Q9P2R7","SUCB1_HUMAN",1,1.46,1,1,1
"TAGLN2","P37802","TAGL2_HUMAN",0.823,1,1,1,1
"TAP1","Q03518","TAP1_HUMAN",1,1,1,1.498,1
"TF","P02787","TRFE_HUMAN",1,1,1,1,1.26
"THBS1","P07996","TSP1_HUMAN",1,1,1,1.388,1
"TINAGL1","Q9GZM7","TINAL_HUMAN",1,1,1,1,0.68
"TLN2","Q9Y4G6","TLN2_HUMAN",1,1.736,1,1,1
"TMPRSS11D","O60235","TM11D_HUMAN",0.333,1,1,1,1
"TMPRSS13","Q9BYE2","TMPSD_HUMAN",2.024,1,1,1.705,1
"TPI1","P60174","TPIS_HUMAN",1,1,1,1,1.38
"TPM1","P09493","TPM1_HUMAN",1,0.672,1,1,0.565
"TPM2","P07951","TPM2_HUMAN",1,0.622,1,1,0.567
"TPP1","O14773","TPP1_HUMAN",0.659,1,1,1,1
"TRAP1","Q12931","TRAP1_HUMAN",1,1,1,1.399,1
"TTN","Q8WZ42","TITIN_HUMAN",1,0.286,1,1,1
"TUBA1B","P68363","TBA1B_HUMAN",1,1,1,1.528,1
"TUBA1C","Q9BQE3","TBA1C_HUMAN",1,1,1,1.402,1
"TUBA4A","P68366","TBA4A_HUMAN",1,1,1,1,1.47
"TUBB","P07437","TBB5_HUMAN",1,1.251,1,1.363,1
"TUFM","P49411","EFTU_HUMAN",1.363,1,1,1,1
"TXNDC17","Q9BRA2","TXD17_HUMAN",1.53,1,1,1,1
"TXNDC4","Q9BS26","ERP44_HUMAN",1,0.711,1,1,1
"TYMP","P19971","TYPH_HUMAN",1,0.667,1,1.453,1
"UQCRB","P14927","QCR7_HUMAN",1.613,1,1,1,1
"UQCRC1","P31930","QCR1_HUMAN",1.541,1,1,1,1
"UQCRC2","P22695","QCR2_HUMAN",1.646,1,1,1,1
"VDAC1","P21796","VDAC1_HUMAN",1.45,1.663,1,1,1
"VIM","P08670","VIME_HUMAN",0.669,0.861,1,1.22,0.567
"WARS","P23381","SYWC_HUMAN",1.61,1,1,2.089,1
"XRCC6","P12956","XRCC6_HUMAN",1,1,1,1.328,1
"XTP3TPA","Q9H773","DCTP1_HUMAN",1,1,1,1.444,1
"YBX1","P67809","YBOX1_HUMAN",1,1,1,1.716,1
"YWHAH","Q04917","1433F_HUMAN",1,1,1,1.344,1
"YWHAZ","P63104","1433Z_HUMAN",1,1,1,1.252,1
