Gene.Symbol,GenBank,UniProt,Name,Transcription.down,Transcription.up,translation.down,translation.up
AARS,NM_001605,P49588,SYAC_HUMAN,,,,TRUE
ABCC1,NM_004996,P33527,MRP1_HUMAN,,,,TRUE
ABCC2,NM_000392,Q92887,MRP2_HUMAN,,,,TRUE
ABCC4,NM_000389,O15439,MRP4_HUMAN,,,,TRUE
ABCC5,NM_005689,O15440,MRP5_HUMAN,,,TRUE,
ABHD11,NM_148912,Q8NFV4,ABHDB_HUMAN,,,TRUE,
ABHD12,NM_001042472,Q8N2K0,ABD12_HUMAN,,,,TRUE
ABHD5,NM_016006,Q8WTS1,ABHD5_HUMAN,,,TRUE,
ACAP2,NM_012287,Q15057,ACAP2_HUMAN,,,,TRUE
ACER3,NM_018367,Q9NUN7,ACER3_HUMAN,,,,TRUE
ACIN1,NM_014977,Q9UKV3,ACINU_HUMAN,,,,TRUE
ACO1,NM_001001734,P21399,ACOC_HUMAN,,,,TRUE
ACO2,NM_001098,Q99798,ACON_HUMAN,,,,TRUE
ACOX2,NM_003500,Q99424,ACOX2_HUMAN,,,TRUE,
ACSL3,NM_004458,O95573,ACSL3_HUMAN,,,,TRUE
ACSL5,NM_016234,Q9ULC5-3,ACSL5_HUMAN,,,,TRUE
ACTN1,NM_001102,P12814,ACTN1_HUMAN,,,,TRUE
ACTN4,NM_004924,O43707,ACTN4_HUMAN,,,,TRUE
ACTR3B,NM_020445,Q9P1U1,ARP3B_HUMAN,,,TRUE,
ACVR1,NM_001105,Q04771,ACVR1_HUMAN,,,,TRUE
ACYP2,NM_138448,P14621,ACYP2_HUMAN,,,TRUE,
ADAM10,NM_001110,O14672,ADA10_HUMAN,,,,TRUE
ADAM17,NM_003183,P78536,ADA17_HUMAN,,,,TRUE
ADAM19,NM_033274,Q9H013-2,ADA19_HUMAN,TRUE,,,
ADAM9,NR_027638,Q13443,ADAM9_HUMAN,,,,TRUE
ADM,NM_001124,P35318,ADML_HUMAN,,TRUE,,TRUE
AGPAT2,NM_001012727,O15120-2,PLCB_HUMAN,,,,TRUE
AGPAT9,NM_032718,Q53EU6,GPAT3_HUMAN,,,,TRUE
AGTRAP,NM_020350,Q6RW13,ATRAP_HUMAN,,,,TRUE
AHCTF1,NM_015446,Q8WYP5-3,ELYS_HUMAN,,,,TRUE
AIG1,NM_016108,Q9NVV5-2,AIG1_HUMAN,,,,TRUE
AK1,NM_000476,P00568,KAD1_HUMAN,,,TRUE,
AKAP8L,NM_014371,Q9ULX6,AKP8L_HUMAN,,,,TRUE
AKAP9,NM_005751,Q99996-2,AKAP9_HUMAN,,,,TRUE
AKR7A2,NM_003689,O43488,ARK72_HUMAN,,,TRUE,
AKR7A3,NM_012067,O95154,ARK73_HUMAN,,,TRUE,
AKT1S1,NM_032375,Q96B36-3,AKTS1_HUMAN,,,TRUE,
ALCAM,NM_001990,Q13740,CD166_HUMAN,,,,TRUE
ALDH18A1,NM_001017423,P54886-2,P5CS_HUMAN,,,,TRUE
ALDOA,NM_184041,P04075,ALDOA_HUMAN,,TRUE,,
ALDOC,NM_005165,P09972,ALDOC_HUMAN,,TRUE,,TRUE
ALG5,NM_001142364,Q9Y673-2,ALG5_HUMAN,,,,TRUE
ALG6,NM_013339,Q9Y672,ALG6_HUMAN,,,,TRUE
ALG8,NM_024080,Q9BVK2,ALG8_HUMAN,,,,TRUE
ALG9,NM_024740,Q9H6U8-3,ALG9_HUMAN,,,,TRUE
AMD1,NM_001033059,P17707,DCAM_HUMAN,TRUE,,,
AMFR,NM_001144,Q9UKV5,AMFR_HUMAN,,,,TRUE
AMOTL2,NM_016201,Q9Y2J4-2,AMOL2_HUMAN,,,,TRUE
ANAPC5,NM_001137559,Q9UJX4-3,APC5_HUMAN,,,TRUE,
ANGPTL4,NM_001039667,Q9BY76-2,ANGL4_HUMAN,,TRUE,,
ANKRD13C,NM_030816,Q8N6S4,AN13C_HUMAN,,,TRUE,
ANKRD16,NM_019046,Q6P6B7,ANR16_HUMAN,,,TRUE,
ANKRD17,NM_032217,O75179,ANR17_HUMAN,,,,TRUE
ANKRD37,NM_181726,Q7Z713,ANR37_HUMAN,,TRUE,,
ANKRD46,NM_001017420,Q86W74,ANR46_HUMAN,TRUE,,,
ANKRD49,NM_017704,Q8WVL7,ANR49_HUMAN,TRUE,,,
ANKRD50,NM_020447,Q9ULJ7,ANR50_HUMAN,TRUE,,,
ANKRD6,NM_014942,Q9Y2G4-3,ANKR6_HUMAN,,,TRUE,
ANLN,NM_018685,Q9NQW6,ANLN_HUMAN,,,,TRUE
ANO1,NM_001143888,Q5XXA6,ANO1_HUMAN,,,,TRUE
ANO6,NM_152641,Q4KMQ2,ANO6_HUMAN,,,,TRUE
ANTXR1,NM_018153,Q9H6X2-4,ANTR1_HUMAN,,,,TRUE
ANXA1,NM_000700,P04083,ANXA1_HUMAN,,TRUE,,
AP1G1,NM_001030007,O43747-2,AP1G1_HUMAN,,,,TRUE
AP1GBP1,NM_007247,Q9UMZ2,SYNRG_HUMAN,,,,TRUE
AP1S1,NM_001283,P61966,AP1S1_HUMAN,,,TRUE,
AP2S1,NM_004069,P53680,AP2S1_HUMAN,,,TRUE,
AP3B1,NM_053042,O00203,AP3B1_HUMAN,,,,TRUE
APBA3,NM_004886,O96018,APBA3_HUMAN,,,TRUE,
APIP,NM_015957,Q96GX9,MTNB_HUMAN,,,TRUE,
APLP2,NM_001543,Q06481,APLP2_HUMAN,,,,TRUE
APOA1BP,NM_144772,Q8NCW5,NNRE_HUMAN,,,TRUE,
APP,NM_000484,P05067,A4_HUMAN,,,,TRUE
AQR,NM_014691,O60306,AQR_HUMAN,,,,TRUE
ARD1A,NM_003491,P41227,NAA10_HUMAN,,,TRUE,
AREG,NM_001657,P15514,AREG_HUMAN,,,,TRUE
ARF5,NM_001662,P84085,ARF5_HUMAN,,,TRUE,
ARGLU1,NM_018011,Q9NWB6,ARGL1_HUMAN,,,TRUE,
ARHGAP29,NM_004815,Q52LW3,RHG29_HUMAN,TRUE,,,
ARID2,NM_152641,Q68CP9,ARID2_HUMAN,,TRUE,,
ARL6IP1,NM_015161,Q15041,AR6P1_HUMAN,,,,TRUE
ARL6IP4,NM_016638,Q66PJ3-3,AR6P4_HUMAN,,,TRUE,
ARL6IP5,NM_006407,O75915,PRAF3_HUMAN,,,,TRUE
ARMC8,NM_015396,Q8IUR7-2,ARMC8_HUMAN,TRUE,,,
ARMET,NM_006010,P55145,MANF_HUMAN,,,,TRUE
ARRDC1,NM_152285,Q8N5I2,ARRD1_HUMAN,,,TRUE,
ARSK,NM_198150,Q6UWY0,ARSK_HUMAN,,,,TRUE
ASCC3,NM_006828,Q8N3C0,ASCC3_HUMAN,,,,TRUE
ASF1B,NM_018154,Q9NVP2,ASF1B_HUMAN,,,TRUE,
ASNA1,NM_004317,O43681,ASNA_HUMAN,,,TRUE,
ASPH,NM_002442,Q12797,ASPH_HUMAN,,,,TRUE
ASPM,NM_001206846,Q8IZT6-2,ASPM_HUMAN,,,,TRUE
ATAD1,NM_032810,Q8NBU5,ATAD1_HUMAN,,,,TRUE
ATAD2,NM_014109,Q6PL18,ATAD2_HUMAN,,,,TRUE
ATF3,NM_001674,P18847,ATF3_HUMAN,,TRUE,,
ATF6,NM_007348,P18850,ATF6A_HUMAN,,,,TRUE
ATG9A,NM_024086,Q7Z3C6,ATG9A_HUMAN,,,,TRUE
ATP11B,NM_014616,Q9Y2G3,AT11B_HUMAN,,,,TRUE
ATP13A1,NM_020410,Q9HD20,AT131_HUMAN,,,,TRUE
ATP1A1,NM_000701,P05023,AT1A1_HUMAN,,,,TRUE
ATP1B1,NM_001677,P05026,AT1B1_HUMAN,,,,TRUE
ATP1B3,NM_001679,P54709,AT1B3_HUMAN,,,,TRUE
ATP2A2,NM_001681,P16615-2,AT2A2_HUMAN,,,,TRUE
ATP2B1,NM_001001323,P20020-2,AT2B1_HUMAN,,,,TRUE
ATP2B4,NM_001001396,P23634-2,AT2B4_HUMAN,,,,TRUE
ATP2C1,NM_014382,P98194,AT2C1_HUMAN,,,,TRUE
ATP5D,NM_005017,P30049,ATPD_HUMAN,,,TRUE,
ATP5G3,NM_001689,P48201,AT5G3_HUMAN,,,TRUE,
ATP6AP1,NM_001183,Q15904,VAS1_HUMAN,,,,TRUE
ATP6AP2,NM_005765,O75787,RENR_HUMAN,,,,TRUE
ATP6V0B,NM_004573,Q99437,VATO_HUMAN,,,,TRUE
ATP6V1C1,NM_001695,P21283,VATC1_HUMAN,,,TRUE,
ATP8B3,NM_138813,O60423,AT8B3_HUMAN,,,,TRUE
ATPAF1,NM_022745,Q5TC12,ATPF1_HUMAN,TRUE,,,
ATR,NM_001184,Q13535,ATR_HUMAN,,,,TRUE
ATRX,NM_000489,P46100,ATRX_HUMAN,,,,TRUE
AURKAIP1,NM_017900,Q9NWT8,AKIP_HUMAN,,,TRUE,
AXIN2,NM_004655,Q9Y2T1,AXIN2_HUMAN,TRUE,,,
AXL,NM_006254,P30530,UFO_HUMAN,,,,TRUE
B2M,NM_004048,P61769,B2MG_HUMAN,,,,TRUE
B3GNT2,NM_006577,Q9NY97,B3GN2_HUMAN,TRUE,,,
B4GALT1,NM_001497,P15291,B4GT1_HUMAN,,,,TRUE
B4GALT3,NM_003779,O60512,B4GT3_HUMAN,,,,TRUE
B4GALT5,NM_004776,O43286,B4GT5_HUMAN,TRUE,,,
B9D1,NM_015681,Q9UPM9,B9D1_HUMAN,,,TRUE,
BAT2D1,NM_015172,Q9Y520-4,PRC2C_HUMAN,,,,TRUE
BAX,NM_138761,Q07812,BAX_HUMAN,,,TRUE,
BAZ1A,NM_013448,Q9NRL2,BAZ1A_HUMAN,,,,TRUE
BBX,NM_020235,Q8WY36-2,BBX_HUMAN,,,,TRUE
BCAP29,NM_018844,Q9UHQ4,BAP29_HUMAN,,,,TRUE
BCAP31,NM_005746,P51572,BAP31_HUMAN,,,,TRUE
BCAS4,NM_198799,Q8TDM0-3,BCAS4_HUMAN,,,TRUE,
BCL2L11,NM_006538,O43521-2,B2L11_HUMAN,TRUE,,,
BCL2L12,NM_031440,Q9HB09,B2L12_HUMAN,,,TRUE,
BCL6,NM_001706,P41182,BCL6_HUMAN,,,,TRUE
BCLAF1,NM_014740,Q9NYF8,BCLF1_HUMAN,,,,TRUE
BDNF,NM_001709,P23560,BDNF_HUMAN,TRUE,,,
BHLHE40,NM_003670,O14503,BHE40_HUMAN,,TRUE,,TRUE
BIRC6,NM_016252,Q9NR09,BIRC6_HUMAN,,,,TRUE
BLOC1S3,NM_212550,Q6QNY0,BL1S3_HUMAN,TRUE,,,
BMP2K,NM_017593,Q9NSY1-2,BMP2K_HUMAN,,,TRUE,
BMPR1A,NM_004329,P36894,BMR1A_HUMAN,,,,TRUE
BMS1,NM_014753,Q14692,BMS1_HUMAN,,,,TRUE
BNIP3,NM_004052,Q12983,BNIP3_HUMAN,,TRUE,,
BNIP3L,NM_004331,O60238,BNI3L_HUMAN,,TRUE,,
BOLA1,NM_016074,Q9Y3E2,BOLA1_HUMAN,,,TRUE,
BRCA2,NM_000059,P51587,BRCA2_HUMAN,,,,TRUE
BRD4,NM_014299,O60885-2,BRD4_HUMAN,,,,TRUE
BRD7,NM_013264,Q9NPI1,BRD7_HUMAN,,,TRUE,
BRMS1L,NM_032352,Q5PSV4,BRM1L_HUMAN,,,TRUE,
BRP44,NM_015415,O95563,MPC2_HUMAN,,,TRUE,
BSG,NM_004605,P35613,BASI_HUMAN,,,,TRUE
BTAF1,NM_003972,O14981,BTAF1_HUMAN,,,,TRUE
BTF3L4,NM_152265,Q96K17,BT3L4_HUMAN,,,TRUE,
BTG2,NM_006763,P78543,BTG2_HUMAN,TRUE,,,
BUB1,NM_004336,O43683,BUB1_HUMAN,,,,TRUE
BUB1B,NM_001211,O60566,BUB1B_HUMAN,,,,TRUE
C10orf116,NM_006829,Q15847,ADIRF_HUMAN,,,TRUE,
C10orf137,NM_001202438,Q3B7T1,EDRF1_HUMAN,,,,TRUE
C10orf32,NM_001136200,Q96B45,CJ032_HUMAN,,,TRUE,
C10orf54,NM_022153,Q9H7M9,VISTA_HUMAN,,,,TRUE
C11orf48,NM_024099,Q9BQE6-2,LBHD1_HUMAN,,,TRUE,
C12orf43,NM_022895,Q96C57,CL043_HUMAN,,,TRUE,
C12orf52,NM_032848,Q96K30,RITA1_HUMAN,,,TRUE,
C12orf60,NM_175874,Q5U649,CL060_HUMAN,,,TRUE,
C12orf73,NM_001135570,Q69YU5,CL073_HUMAN,,,TRUE,
C12orf75,NM_001145199,Q8TAD7,OCC1_HUMAN,,,,TRUE
C13orf23,NM_025138,Q86XN7,PRSR1_HUMAN,,,TRUE,
C14orf100,NM_001098625,Q9P055-3,JKAMP_HUMAN,,,,TRUE
C14orf104,NM_018141,P82664,RT10_HUMAN,,,TRUE,
C14orf142,NM_032490,Q9BXV9,CN142_HUMAN,,,TRUE,
C14orf169,NM_024644,Q9H6W3,NO66_HUMAN,TRUE,,TRUE,
C15orf24,NM_020154,Q9NPA0,EMC7_HUMAN,,,,TRUE
C15orf29,NM_024713,Q9H079,KTBL1_HUMAN,,,TRUE,
C15orf40,NM_144597,Q8WUR7,CO040_HUMAN,,,TRUE,
C16orf42,NM_001001410,Q9UJK0,TSR3_HUMAN,,,TRUE,
C16orf46,NM_001296,O00590,ACKR2_HUMAN,,,TRUE,
C16orf55,NM_153025,Q96N06,SPT33_HUMAN,,,TRUE,
C16orf75,NM_152308,Q96E14,RMI2_HUMAN,,,TRUE,
C17orf39,NM_024052,Q8IVV7,GID4_HUMAN,TRUE,,,
C17orf65,AK055685,,,,,TRUE,
C17orf90,NM_001039842,Q5BKU9,OXLD1_HUMAN,,,TRUE,
C17orf97,NM_001013672,Q6ZQX7-4,LIAT1_HUMAN,,,TRUE,
C18orf19,NM_001098801,Q96ND0,F210A_HUMAN,,TRUE,,
C18orf25,NM_133459,Q6UXH8,CCBE1_HUMAN,,,,TRUE
C19orf10,NM_019107,Q969H8,MYDGF_HUMAN,,,,TRUE
C19orf2,NM_003796,O94763,RMP_HUMAN,,,TRUE,
C19orf42,NM_024104,Q9BQ49,SMIM7_HUMAN,,,,TRUE
C19orf63,NM_175063,Q5UCC4-2,EMC10_HUMAN,,,,TRUE
C19orf66,NM_018381,Q9NUL5,RYDEN_HUMAN,,,TRUE,
C19orf70,NM_205767,Q5XKP0,MIC13_HUMAN,,,TRUE,
C1GALT1,NM_020156,Q9NS00,C1GLT_HUMAN,,,,TRUE
C1GALT1C1,NM_014159,Q96EU7,C1GLC_HUMAN,,,,TRUE
C1orf107,NM_014388,Q68CQ4,DIEXF_HUMAN,,,,TRUE
C1orf122,NM_000088,P02452,CO1A1_HUMAN,,,TRUE,
C1orf131,NM_152379,Q8NDD1-2,CA131_HUMAN,,,TRUE,
C1orf163,NM_023077,Q96BR5,COA7_HUMAN,TRUE,,TRUE,
C1orf216,NM_152374,Q8TAB5,CA216_HUMAN,,,TRUE,
C1orf27,NM_017848,Q9NX05,F120C_HUMAN,,,,TRUE
C1orf55,NM_152608,Q6IQ49,SDE2_HUMAN,,,,TRUE
C1orf63,NM_020317,Q9BUV0,RSRP1_HUMAN,,,,TRUE
C1orf85,NM_007249,Q9Y4X4,KLF12_HUMAN,,,,TRUE
C1orf9,NM_014283,Q9UBS9,SUCO_HUMAN,,,,TRUE
C20orf199,NR_003604,,,,,,TRUE
C20orf3,NM_020531,Q9HDC9,APMAP_HUMAN,,,,TRUE
C20orf7,NM_024120,Q5TEU4,NDUF5_HUMAN,,,TRUE,
C21orf33,NM_004649,P30042,ES1_HUMAN,,,TRUE,
C2orf18,NM_017877,Q8N357,S35F6_HUMAN,,,,TRUE
C2orf29,NM_017546,Q9UKZ1,CNO11_HUMAN,,,TRUE,
C2orf49,NM_024093,Q9BVC5,ASHWN_HUMAN,,,TRUE,
C2orf64,NM_001008215,Q86WW8,COA5_HUMAN,,,TRUE,
C3orf34,NM_032898,Q96LK0,CEP19_HUMAN,,,TRUE,
C3orf38,NM_173824,Q5JPI3,CC038_HUMAN,TRUE,,,
C3orf58,NM_018941,Q8NDZ4,DIA1_HUMAN,,,,TRUE
C3orf59,NM_178496,Q8IYB1,M21D2_HUMAN,,,,TRUE
C4orf3,NM_001001701,Q8WVX3,CD003_HUMAN,,TRUE,,
C4orf46,NM_152679,Q504U0,CD046_HUMAN,,,TRUE,
C4orf47,NM_001114357,A7E2U8,CD047_HUMAN,,TRUE,,
C5orf15,NM_020199,Q8NC54,KCT2_HUMAN,,,,TRUE
C5orf26,NR_015370,,,,,,TRUE
C5orf33,NM_001085411,Q4G0N4,NAKD2_HUMAN,,,TRUE,
C5orf41,NM_153607,Q8IUR6,CRERF_HUMAN,,,,TRUE
C6orf115,NM_021243,Q9P1F3,ABRAL_HUMAN,,,TRUE,
C6orf120,NM_001029863,Q7Z4R8,CF120_HUMAN,TRUE,,,
C6orf203,NM_016487,Q9P0P8,CF203_HUMAN,,,TRUE,
C6orf48,NM_001040437,Q9UBA6,G8_HUMAN,,,,TRUE
C6orf72,NM_138785,Q9NU53,GINM1_HUMAN,,,,TRUE
C7orf28A,NM_198097,P86791,CCZ1_HUMAN,,,TRUE,
C7orf28B,NM_015622,P86790,CCZ1B_HUMAN,,,TRUE,
C7orf30,NM_138446,Q96EH3,MASU1_HUMAN,,,TRUE,
C7orf36,NM_020192,Q9NRH1,YAED1_HUMAN,,,TRUE,
C7orf42,NM_017994,Q9NWD8,TM248_HUMAN,,,,TRUE
C7orf44,NM_018224,Q9GZY4,COA1_HUMAN,,TRUE,,
C7orf47,NM_145030,Q8TAP8,PPR35_HUMAN,,,TRUE,
C7orf68,NM_001098786,Q9Y5L2,HLPDA_HUMAN,,TRUE,,
C9orf125,NM_032342,Q9BRR3,TM246_HUMAN,,,,TRUE
C9orf126,NM_001144877,Q8N9R8,SCAI_HUMAN,TRUE,,,
C9orf30,NM_080655,Q96H12,MSD3_HUMAN,,TRUE,,
C9orf40,NM_017998,Q8IXQ3,CI040_HUMAN,,,TRUE,
C9orf41,NM_152420,Q8N4J0,CARME_HUMAN,,,TRUE,
C9orf5,NM_032012,Q9H330-2,TM245_HUMAN,,,,TRUE
C9orf78,NM_016520,Q9NZ63,CI078_HUMAN,,,TRUE,
C9orf9,NM_018956,Q96E40-2,SACA9_HUMAN,,,TRUE,
CA2,NM_000067,P00918,CAH2_HUMAN,,,TRUE,
CABLES2,NM_031215,Q9BTV7,CABL2_HUMAN,,,TRUE,
CACHD1,NM_020925,Q5VU97,CAHD1_HUMAN,,,,TRUE
CALM1,NM_006888,P62158,CALM_HUMAN,,,TRUE,
CALR,NM_004343,P27797,CALR_HUMAN,,,,TRUE
CALU,NM_001219,O43852,CALU_HUMAN,,,,TRUE
CAND1,NM_018448,Q86VP6,CAND1_HUMAN,,,,TRUE
CANX,NM_005675,P27824,CALX_HUMAN,,,,TRUE
CARHSP1,NM_014316,Q9Y2V2,CHSP1_HUMAN,,,TRUE,
CARS,NM_001751,P49589,SYCC_HUMAN,,,,TRUE
CASC4,NM_138423,Q6P4E1-4,CASC4_HUMAN,,,,TRUE
CASC5,NM_144508,Q8NG31-2,CASC5_HUMAN,,,,TRUE
CASP6,NM_001226,P55212,CASP6_HUMAN,,,TRUE,
CASP7,NM_033338,P55210-3,CASP7_HUMAN,,,TRUE,
CCAR1,NM_018237,Q8IX12,CCAR1_HUMAN,,,,TRUE
CCDC137,NM_199287,Q6PK04,CC137_HUMAN,,,TRUE,
CCDC44,NM_016360,Q9BSH4,TACO1_HUMAN,,,TRUE,
CCDC47,NM_020198,Q96A33,CCD47_HUMAN,,,,TRUE
CCDC92,NM_025140,Q53HC0,CCD92_HUMAN,,,TRUE,
CCNE1,NM_001238,P24864,CCNE1_HUMAN,TRUE,,TRUE,
CCNL1,NM_020307,Q9UK58,CCNL1_HUMAN,,,,TRUE
CCNYL1,NM_004390,Q8N7R7,CCYL1_HUMAN,TRUE,,,
CCRN4L,NM_012118,Q9UK39,NOCT_HUMAN,,TRUE,,
CD109,NM_133493,Q6YHK3,CD109_HUMAN,,,,TRUE
CD151,NM_139029,P48509,CD151_HUMAN,,,,TRUE
CD164,NM_003820,Q04900,MUC24_HUMAN,,,,TRUE
CD320,NM_016580,Q9NPF0,CD320_HUMAN,,,,TRUE
CD44,NM_000610,P16070,CD44_HUMAN,,,,TRUE
CD46,NM_002389,P15529,MCP_HUMAN,,,,TRUE
CD47,NM_001777,Q08722,CD47_HUMAN,,,,TRUE
CD55,NM_000574,P08174,DAF_HUMAN,,,,TRUE
CD58,NM_001779,P19256,LFA3_HUMAN,,,,TRUE
CD59,NM_000611,P13987,CD59_HUMAN,,,,TRUE
CD63,NM_014652,P08962,CD63_HUMAN,,,,TRUE
CD81,NM_004356,P60033,CD81_HUMAN,,,,TRUE
CD9,NM_001769,P21926,CD9_HUMAN,,,,TRUE
CD97,NM_078481,P48960,CD97_HUMAN,,,,TRUE
CD99,NM_002414,P14209,CD99_HUMAN,,,,TRUE
CDC25A,NM_001789,P30304,MPIP1_HUMAN,TRUE,,,
CDC40,NM_015891,O60508,PRP17_HUMAN,,,,TRUE
CDC42EP2,NM_006779,O14613,BORG1_HUMAN,,,TRUE,
CDC5L,NM_001253,Q99459,CDC5L_HUMAN,,,,TRUE
CDCP1,NM_022842,Q9H5V8,CDCP1_HUMAN,,TRUE,,TRUE
CDH1,NM_004360,P12830,CADH1_HUMAN,,,,TRUE
CDH3,NM_001793,P22223,CADH3_HUMAN,,,,TRUE
CDK4,NM_000075,P11802,CDK4_HUMAN,,,TRUE,
CDK5,NM_005792,Q00535,CDK5_HUMAN,,,TRUE,
CDK5RAP2,NM_018249,Q96SN8,CK5P2_HUMAN,,,,TRUE
CDKN2AIPNL,NM_080656,Q96HQ2,C2AIL_HUMAN,,,TRUE,
CDRT4,NM_001204477,Q8N9R6,CDRT4_HUMAN,,,,TRUE
CDS1,NM_001263,Q92903,CDS1_HUMAN,,,,TRUE
CDS2,NM_003818,O95674,CDS2_HUMAN,,,,TRUE
CENPE,NM_001813,Q02224,CENPE_HUMAN,,,,TRUE
CENPF,NM_016343,P49454,CENPF_HUMAN,,,,TRUE
CENPJ,NM_018453,Q9HC77,CENPJ_HUMAN,,,,TRUE
CENPN,NM_018455,Q96H22-2,CENPN_HUMAN,,,TRUE,
CENPQ,NM_018132,Q7L2Z9,CENPQ_HUMAN,,,TRUE,
CEP170,NM_014812,Q5SW79,CE170_HUMAN,,,,TRUE
CEP192,NM_032142,Q8TEP8,CE192_HUMAN,,,,TRUE
CEP350,NM_014810,Q5VT06,CE350_HUMAN,,,,TRUE
CEP70,NM_024491,Q8NHQ1,CEP70_HUMAN,,,TRUE,
CEPT1,NM_001007794,Q9Y6K0,CEPT1_HUMAN,,,,TRUE
CFL2,NM_021914,Q9Y281,COF2_HUMAN,,,TRUE,
CHAC2,NM_001008708,Q8WUX2,CHAC2_HUMAN,,,TRUE,
CHCHD7,NM_024300,Q9BUK0-2,CHCH7_HUMAN,,,TRUE,
CHD2,NM_001042572,O14647-3,CHD2_HUMAN,,TRUE,,
CHD4,NM_001273,Q14839,CHD4_HUMAN,,,,TRUE
CHD9,NM_025134,Q3L8U1-2,CHD9_HUMAN,,,,TRUE
CHMP4B,NM_176812,Q9H444,CHM4B_HUMAN,,,TRUE,
CHORDC1,NM_152354,Q9UHD1,CHRD1_HUMAN,,TRUE,,
CHP,NM_007236,Q99653,CHP1_HUMAN,,,TRUE,
CHPT1,NM_020244,Q8WUD6,CHPT1_HUMAN,,,,TRUE
CHST7,NM_019886,Q9NS84,CHST7_HUMAN,,,,TRUE
CHUK,NM_001278,O15111,IKKA_HUMAN,,,TRUE,
CIT,NM_007045,O14578,CTRO_HUMAN,,,,TRUE
CKAP5,NM_014757,Q14008,CKAP5_HUMAN,,,,TRUE
CLCN3,NM_001829,P51790,CLCN3_HUMAN,,,,TRUE
CLDN12,NM_012129,P56749,CLD12_HUMAN,,,,TRUE
CLDN7,NM_001307,O95471,CLD7_HUMAN,,,,TRUE
CLDND1,NM_019895,Q9NY35,CLDN1_HUMAN,,,,TRUE
CLIC3,NM_004669,O95833,CLIC3_HUMAN,,,TRUE,
CLK1,NM_004071,P49759,CLK1_HUMAN,,,,TRUE
CLK4,NM_020666,Q9HAZ1,CLK4_HUMAN,,,,TRUE
CLN5,NM_006493,O75503,CLN5_HUMAN,,,,TRUE
CLN6,NM_017882,Q9NWW5,CLN6_HUMAN,,,,TRUE
CLN8,NM_018941,Q9UBY8,CLN8_HUMAN,TRUE,,,
CLPTM1,NM_182496,O96005,CLPT1_HUMAN,,,,TRUE
CLPTM1L,NM_030782,Q96KA5,CLP1L_HUMAN,,,,TRUE
CLSTN1,NM_014023,O94985,CSTN1_HUMAN,,,,TRUE
CLTC,NM_004859,Q00610,CLH1_HUMAN,,,,TRUE
CLU,NM_183058,P10909,CLUS_HUMAN,,,,TRUE
CNIH,NM_005776,O95406,CNIH1_HUMAN,,,,TRUE
CNIH4,NM_001177801,Q9P003,CNIH4_HUMAN,,,,TRUE
CNNM2,NM_017649,Q9H8M5,CNNM2_HUMAN,,,,TRUE
COG5,NM_181733,Q9UP83,COG5_HUMAN,,,,TRUE
COG8,NM_022341,Q96MW5,COG8_HUMAN,,,TRUE,
COL12A1,NM_004370,Q99715,COCA1_HUMAN,,,,TRUE
COL13A1,NM_080800,Q5TAT6-8,CODA1_HUMAN,,,,TRUE
COL4A3BP,NM_031361,Q9Y5P4-2,C43BP_HUMAN,TRUE,,,
