Gene.Symbol,GenBank,UniProt,Name,Transcription.down,Transcription.up,translation.down,translation.up
COL4A5,NM_000495,P29400,CO4A5_HUMAN,TRUE,,,
COL6A1,NM_001848,P12109,CO6A1_HUMAN,,,,TRUE
COL6A2,NM_001849,P12110,CO6A2_HUMAN,,,,TRUE
COPA,NM_001098398,P53621-2,COPA_HUMAN,,,,TRUE
COPB1,NM_016451,P53618,COPB_HUMAN,,,,TRUE
COPB2,NM_001164267,P35606,COPB2_HUMAN,,,,TRUE
COX1,YP_003024028,P23219,PGH1_HUMAN,,,,TRUE
COX2,NM_022340,P35354,PGH2_HUMAN,,,,TRUE
COX4NB,NM_001142288,O43402-2,EMC8_HUMAN,,,TRUE,
CPD,NM_001199775,O75976-2,CBPD_HUMAN,,,,TRUE
CPE,NM_001873,P16870,CBPE_HUMAN,,,,TRUE
CPNE2,NM_152727,Q96FN4,CPNE2_HUMAN,,,TRUE,
CPS1,NM_001875,P31327,CPSM_HUMAN,,,,TRUE
CPT1A,NM_001031847,P50416-2,CPT1A_HUMAN,,,,TRUE
CRADD,NM_003805,P78560,CRADD_HUMAN,,,TRUE,
CREB3L2,NM_001253775,Q70SY1-3,CR3L2_HUMAN,,,,TRUE
CREG1,NM_003851,O75629,CREG1_HUMAN,,,,TRUE
CRIM1,NM_016441,Q9NZV1,CRIM1_HUMAN,,,,TRUE
CRTAP,NM_006371,O75718,CRTAP_HUMAN,,,,TRUE
CRYL1,NM_015974,Q9Y2S2,CRYL1_HUMAN,,,TRUE,
CSGALNACT2,NM_018590,Q8N6G5,CGAT2_HUMAN,,,,TRUE
CSNK1D,NM_001893,P48730,KC1D_HUMAN,TRUE,,,
CSRNP1,NM_033027,Q96S65,CSRN1_HUMAN,,,,TRUE
CSRP2BP,NM_020524,Q9H8E8,CSR2B_HUMAN,,,TRUE,
CST3,NM_000099,P01034,CYTC_HUMAN,,,,TRUE
CTGF,NM_001901,P29279,CTGF_HUMAN,,TRUE,,TRUE
CTNNA1,NM_001903,P35221,CTNA1_HUMAN,,,,TRUE
CTNND1,NM_001331,O60716-6,CTND1_HUMAN,,,,TRUE
CTSA,NM_017573,P10619,PPGB_HUMAN,,,,TRUE
CTSB,NM_001908,P07858,CATB_HUMAN,,,,TRUE
CTSC,NM_148170,P53634-2,CATC_HUMAN,,,,TRUE
CTSH,NM_004390,P09668,CATH_HUMAN,,,,TRUE
CTSL1,NM_145918,P07711,CATL1_HUMAN,,,,TRUE
CTSL2,NM_001201575,O60911,CATL2_HUMAN,,,,TRUE
CUL3,NM_032490,Q13618,CUL3_HUMAN,TRUE,,,
CWC22,NM_020943,Q9HCG8,CWC22_HUMAN,,,,TRUE
CWF19L2,NM_152434,Q2TBE0,C19L2_HUMAN,,TRUE,,TRUE
CXADR,NM_001338,P78310,CXAR_HUMAN,,,,TRUE
CXADRP1,NG_008739,,,,,,TRUE
CXCL16,NM_024649,Q9H2A7,CXL16_HUMAN,,,,TRUE
CXCR4,NM_003468,P61073,CXCR4_HUMAN,,TRUE,,TRUE
CXorf57,NM_018017,Q7Z3E2,CC186_HUMAN,,,,TRUE
CYB5A,NM_148923,P00167,CYB5_HUMAN,,,TRUE,
CYB5B,NM_030579,O43169,CYB5B_HUMAN,TRUE,,,
CYB5R1,NM_016243,Q9UHQ9,NB5R1_HUMAN,,,,TRUE
CYBRD1,NM_024843,Q53TN4,CYBR1_HUMAN,,,,TRUE
CYR61,NM_001554,O00622,CYR61_HUMAN,,TRUE,,TRUE
DAAM1,NM_014992,Q9Y4D1,DAAM1_HUMAN,,,,TRUE
DAG1,NM_144973,Q14118,DAG1_HUMAN,,,,TRUE
DBF4,NM_006716,Q9UBU7,DBF4A_HUMAN,,,TRUE,
DBI,NM_020548,P07108-2,ACBP_HUMAN,,,TRUE,
DCAKD,NM_024821,Q8WVC6,DCAKD_HUMAN,,,TRUE,
DCBLD2,NM_080927,Q96PD2,DCBD2_HUMAN,,,,TRUE
DCK,NM_000788,P27707,DCK_HUMAN,,,TRUE,
DCLRE1B,NM_022836,Q9H816,DCR1B_HUMAN,,,TRUE,
DCUN1D4,NM_001040402,Q92564,DCNL4_HUMAN,,,TRUE,
DDHD2,NM_015214,O94830,DDHD2_HUMAN,,,TRUE,
DDIT3,NM_005693,P35638,DDIT3_HUMAN,,TRUE,,TRUE
DDIT4,NM_019058,Q9NX09,DDIT4_HUMAN,,TRUE,,
DDIT4L,NM_145244,Q96D03,DDT4L_HUMAN,TRUE,,,
DDOST,NM_005216,P39656,OST48_HUMAN,,,,TRUE
DDR1,NM_001954,Q08345-2,DDR1_HUMAN,,,,TRUE
DDX10,NM_004398,Q13206,DDX10_HUMAN,,,,TRUE
DDX20,NM_007204,Q9UHI6,DDX20_HUMAN,,,,TRUE
DDX21,NM_001171135,Q9NR30,DDX21_HUMAN,,,,TRUE
DDX24,NM_020414,Q9GZR7,DDX24_HUMAN,,,,TRUE
DEDD2,NM_001077624,Q8WXF8,DEDD2_HUMAN,,TRUE,,
DEGS1,NM_003676,O15121,DEGS1_HUMAN,TRUE,,,
DENND2D,NM_024902,Q9H6A0,DEN2D_HUMAN,,,TRUE,
DEPDC1B,NM_002738,Q8WUY9,DEP1B_HUMAN,,,TRUE,
DERA,NM_015954,Q9Y315,DEOC_HUMAN,,,TRUE,
DERL1,NM_024296,Q9BUN8,DERL1_HUMAN,,,,TRUE
DERL2,NM_016041,Q9GZP9,DERL2_HUMAN,,,,TRUE
DGAT1,NM_012079,O75907,DGAT1_HUMAN,,,,TRUE
DGKZ,NM_003646,Q13574-4,DGKZ_HUMAN,,,TRUE,
DHCR24,NM_014762,Q15392,DHC24_HUMAN,,,,TRUE
DHCR7,NM_014762,Q9UBM7,DHCR7_HUMAN,,,,TRUE
DHRS7,NM_016029,Q9Y394,DHRS7_HUMAN,,,,TRUE
DHX9,NM_152889,Q08211,DHX9_HUMAN,,,,TRUE
DIAPH1,NM_001133,O60610,DIAP1_HUMAN,,,,TRUE
DIAPH2,NM_006729,O60879,DIAP2_HUMAN,,,,TRUE
DIAPH3,NM_030932,Q9NSV4,DIAP3_HUMAN,,TRUE,,TRUE
DIDO1,NM_022105,Q9BTC0-3,DIDO1_HUMAN,TRUE,,,
DIMT1L,NM_014473,Q9UNQ2,DIM1_HUMAN,,,TRUE,
DIRC2,NM_032839,Q96SL1,DIRC2_HUMAN,,,,TRUE
DIS3,NM_001128226,Q9Y2L1-2,RRP44_HUMAN,,,,TRUE
DKK1,NM_012242,O94907,DKK1_HUMAN,,,,TRUE
DLEU2,AF075100,,,TRUE,,,
DLGAP5,NM_014751,Q15398,DLGP5_HUMAN,,,,TRUE
DNAJB1,NM_006145,P25685,DNJB1_HUMAN,,TRUE,,
DNAJB11,NM_016306,Q9UBS4,DJB11_HUMAN,,,,TRUE
DNAJB14,NM_024921,Q8TBM8,DJB14_HUMAN,,,,TRUE
DNAJB9,NM_012328,Q9UBS3,DNJB9_HUMAN,,,,TRUE
DNAJC1,NM_022365,Q96KC8,DNJC1_HUMAN,,,,TRUE
DNAJC10,NM_018981,Q8IXB1,DJC10_HUMAN,,,,TRUE
DNAJC12,NM_021800,Q9UKB3,DJC12_HUMAN,,,TRUE,
DNAJC15,NM_013238,Q9Y5T4,DJC15_HUMAN,,,TRUE,
DNAJC18,NM_152686,Q9H819,DJC18_HUMAN,,,,TRUE
DNAJC3,NM_006260,Q13217,DNJC3_HUMAN,,,,TRUE
DNAJC8,NM_014280,O75937,DNJC8_HUMAN,,,TRUE,
DNMBP,NM_015221,Q6XZF7,DNMBP_HUMAN,,,,TRUE
DNMT1,NM_004412,P26358,DNMT1_HUMAN,,,,TRUE
DOCK7,NM_001037335,Q96N67,DOCK7_HUMAN,,,,TRUE
DOLK,NM_014908,Q9UPQ8,DOLK_HUMAN,TRUE,,,
DONSON,NM_017613,Q9NYP3,DONS_HUMAN,,,TRUE,
DPY19L1,NM_015283,Q2PZI1,D19L1_HUMAN,,,,TRUE
DSC2,NM_001941,Q02487,DSC2_HUMAN,,,,TRUE
DSG2,NM_001943,Q14126,DSG2_HUMAN,,,,TRUE
DSN1,NM_024918,Q9H410,DSN1_HUMAN,,,TRUE,
DSP,NM_004950,P15924,DESP_HUMAN,,,,TRUE
DST,NM_015548,Q03001-8,DYST_HUMAN,,,,TRUE
DSTYK,NM_015375,Q6XUX3,DUSTY_HUMAN,TRUE,,,
DTYMK,NM_012145,P23919,KTHY_HUMAN,,,TRUE,
DUSP1,NM_004417,P28562,DUS1_HUMAN,,TRUE,,
DUSP23,NM_017823,Q9BVJ7,DUS23_HUMAN,,,TRUE,
DUSP5,NM_004419,Q16690,DUS5_HUMAN,,TRUE,,
DYNC1H1,NM_001376,Q14204,DYHC1_HUMAN,,,,TRUE
DYNC1I2,NM_006141,Q13409,DC1I2_HUMAN,,,,TRUE
DZIP3,NM_014648,Q86Y13,DZIP3_HUMAN,,,,TRUE
EBNA1BP2,NM_006825,Q99848,EBP2_HUMAN,,,TRUE,
EBPL,NM_032565,Q9BY08,EBPL_HUMAN,,,,TRUE
ECHDC3,NM_024693,Q96DC8,ECHD3_HUMAN,,,TRUE,
EDEM3,NM_025191,Q9BZQ6,EDEM3_HUMAN,TRUE,,,
EFNA4,NM_005227,P52798,EFNA4_HUMAN,,,,TRUE
EGFR,NM_005228,P00533,EGFR_HUMAN,,,,TRUE
EGLN1,NM_022051,Q9GZT9,EGLN1_HUMAN,,TRUE,,
EGLN3,NM_022073,Q9H6Z9,EGLN3_HUMAN,,TRUE,,
EGR1,NM_001964,P18146,EGR1_HUMAN,,TRUE,,
EGR2,NM_000399,P11161,EGR2_HUMAN,,TRUE,,
EIF1,NM_005801,P41567,EIF1_HUMAN,,,TRUE,
EIF1AX,NM_001412,P47813,IF1AX_HUMAN,,,TRUE,
EIF2AK3,NM_004836,Q9NZJ5,E2AK3_HUMAN,,,,TRUE
EIF3A,NM_003750,Q14152,EIF3A_HUMAN,,,,TRUE
EIF4B,NM_001417,P23588,IF4B_HUMAN,,,,TRUE
EIF4E,NM_001968,P06730,IF4E_HUMAN,,,TRUE,
EIF4EBP2,NM_004096,Q13542,4EBP2_HUMAN,TRUE,,,
EIF4EBP3,NM_003732,O60516,4EBP3_HUMAN,,,,TRUE
EIF5A2,NM_020390,Q9GZV4,IF5A2_HUMAN,,,TRUE,
EIF5B,NM_015904,O60841,IF2P_HUMAN,,,,TRUE
ELAC1,NM_018696,Q9H777,RNZ1_HUMAN,,,TRUE,
ELOVL5,NM_021814,Q9NYP7,ELOV5_HUMAN,,,,TRUE
ELOVL7,NM_001104558,A1L3X0,ELOV7_HUMAN,,,,TRUE
EMP1,NM_001423,P54849,EMP1_HUMAN,,,,TRUE
EMP2,NM_001424,P54851,EMP2_HUMAN,,,,TRUE
ENAH,NM_001008493,Q8N8S7,ENAH_HUMAN,,TRUE,,
ENDOD1,NM_015036,O94919,ENDD1_HUMAN,,,,TRUE
ENO1,NM_152687,P06733,ENOA_HUMAN,,TRUE,,
ENO2,NM_001975,P09104,ENOG_HUMAN,,TRUE,,
ENPP4,NM_014936,Q9Y6X5,ENPP4_HUMAN,,,,TRUE
ENPP5,NM_021572,Q9UJA9,ENPP5_HUMAN,TRUE,,,
ENY2,NM_020189,Q9NPA8,ENY2_HUMAN,,,TRUE,
EPB41L4A,NM_022140,Q9HCS5,E41LA_HUMAN,TRUE,,,
EPB41L4B,NM_018424,Q9H329-2,E41LB_HUMAN,,,TRUE,
EPCAM,NM_002354,P16422,EPCAM_HUMAN,,,,TRUE
EPHA2,NM_004431,P29317,EPHA2_HUMAN,,,,TRUE
EPRS,NM_004446,P07814,SYEP_HUMAN,,,,TRUE
EREG,NM_001432,O14944,EREG_HUMAN,,,,TRUE
ERGIC1,NM_001031711,Q969X5,ERGI1_HUMAN,,,,TRUE
ERGIC3,NM_015966,Q9Y282,ERGI3_HUMAN,,,,TRUE
ERLIN1,NM_006460,O75477,ERLN1_HUMAN,,,,TRUE
ERMP1,NM_024896,Q7Z2K6,ERMP1_HUMAN,,,,TRUE
ERO1L,NM_014584,Q96HE7,ERO1A_HUMAN,,TRUE,,TRUE
ERP29,NM_006818,P30040,ERP29_HUMAN,,,,TRUE
ERP44,NM_015051,Q9BS26,ERP44_HUMAN,,,,TRUE
ESF1,NM_000283,Q9H501,ESF1_HUMAN,,,,TRUE
ETAA1,NM_019002,Q9NY74,ETAA1_HUMAN,TRUE,,,
ETS1,NM_005238,P14921,ETS1_HUMAN,,TRUE,,TRUE
EXD2,NM_018199,Q9NVH0-2,EXD2_HUMAN,,,,TRUE
EXD3,NM_017820,Q8N9H8,MUT7_HUMAN,,,TRUE,
EXOC6B,NM_015189,Q9Y2D4,EXC6B_HUMAN,,,,TRUE
EXOSC4,NM_019037,Q9NPD3,EXOS4_HUMAN,,,TRUE,
EXT1,NM_000127,Q16394,EXT1_HUMAN,,,,TRUE
EXT2,NM_000401,Q93063-3,EXT2_HUMAN,,,,TRUE
EYA3,NM_001990,Q99504,EYA3_HUMAN,,,,TRUE
EZR,NM_003380,P15311,EZRI_HUMAN,,,,TRUE
F11R,NM_016946,Q9Y624,JAM1_HUMAN,,,,TRUE
F2R,NM_001992,P25116,PAR1_HUMAN,,,,TRUE
F2RL1,NM_005242,P55085,PAR2_HUMAN,,,,TRUE
F3,NM_000130,P13726,TF_HUMAN,,,,TRUE
F8A1,NM_012151,P23610,F8I2_HUMAN,,,TRUE,
FABP6,NM_001445,P51161,FABP6_HUMAN,,,TRUE,
FADD,NM_003824,Q13158,FADD_HUMAN,TRUE,,,
FADS1,NM_013402,O60427,FADS1_HUMAN,,,,TRUE
FAH,NM_000137,P16930,FAAA_HUMAN,,,TRUE,
FAIM,NM_018147,Q9NVQ4,FAIM1_HUMAN,,,TRUE,
FAM108C1,NM_021214,Q6PCB6,AB17C_HUMAN,,,TRUE,
FAM115A,NM_014719,Q9Y4C2,TCAF1_HUMAN,,,,TRUE
FAM117A,NM_030802,Q9C073,F117A_HUMAN,,,TRUE,
FAM119A,NM_001142300,Q8WXB1,MT21A_HUMAN,,,TRUE,
FAM129A,NM_052966,Q9BZQ8,NIBAN_HUMAN,,,,TRUE
FAM149A,NM_001024957,A5PLN7,F149A_HUMAN,,,TRUE,
FAM149B1,NM_173348,Q96BN6,F149B_HUMAN,,,TRUE,
FAM160A1,NM_001109977,Q05DH4,F16A1_HUMAN,,,,TRUE
FAM162A,NM_014367,Q96A26,F162A_HUMAN,,TRUE,,
FAM171B,NM_177454,Q6P995,F171B_HUMAN,,,,TRUE
FAM173A,NM_023934,Q9BQD7,F173A_HUMAN,,,TRUE,
FAM173B,NM_138809,Q6P4H8,F173B_HUMAN,,,TRUE,
FAM174A,NM_198507,Q8TBP5,F174A_HUMAN,,,,TRUE
FAM18B,NM_016078,Q9NYZ1,TV23B_HUMAN,,,,TRUE
FAM36A,NM_198076,Q5RI15,COX20_HUMAN,,TRUE,,TRUE
FAM46B,NM_052943,Q96A09,FA46B_HUMAN,,TRUE,,
FAM62A,NM_033071,Q9BSJ8,ESYT1_HUMAN,,,,TRUE
FAM62B,NM_020728,A0FGR8-2,ESYT2_HUMAN,,,,TRUE
FAM69A,NM_001006605,Q5T7M9,FA69A_HUMAN,,,,TRUE
FAM76A,NM_152660,Q8TAV0,FA76A_HUMAN,,,TRUE,
FAM76B,NM_144664,Q5HYJ3,FA76B_HUMAN,,,TRUE,
FAM86A,NM_201400,Q96G04,EF2KT_HUMAN,,,TRUE,
FANCD2,NM_021922,Q9BXW9,FACD2_HUMAN,,,,TRUE
FASTK,NM_033015,Q14296-2,FASTK_HUMAN,,,TRUE,
FAT1,NM_005245,Q14517,FAT1_HUMAN,,,,TRUE
FBXL15,NM_024326,Q9H469,FXL15_HUMAN,,,TRUE,
FBXL18,NM_024963,Q96ME1,FXL18_HUMAN,TRUE,,,
FBXO38,NM_001146070,Q6PIJ6,FBX38_HUMAN,,,,TRUE
FBXO9,NM_012347,Q9UK97,FBX9_HUMAN,,,TRUE,
FDX1,NM_004109,P10109,ADX_HUMAN,,,TRUE,
FECH,NM_000140,P22830,HEMH_HUMAN,,,TRUE,
FER,NM_005246,P16591,FER_HUMAN,,,,TRUE
FERMT2,NM_006832,Q96AC1,FERM2_HUMAN,,TRUE,,TRUE
FES,NM_002005,P07332,FES_HUMAN,,,TRUE,
FGFBP1,NM_005130,Q14512,FGFP1_HUMAN,TRUE,,,
FIBP,NM_004214,O43427-2,FIBP_HUMAN,,,TRUE,
FKBP15,NM_015258,Q5T1M5,FKB15_HUMAN,,TRUE,,
FKBPL,NM_022110,Q9UIM3,FKBPL_HUMAN,,,TRUE,
FLAD1,NM_025207,Q8NFF5,FAD1_HUMAN,,,TRUE,
FLJ36031,NM_175884,Q8N9Z2,CC71L_HUMAN,,,TRUE,
FLJ39632,XR_110291,,,,,TRUE,
FLJ43663,AI743239,,,,TRUE,,
FLJ90757,AK027350,,,TRUE,,,
FLNB,NM_015140,O75369,FLNB_HUMAN,,,,TRUE
FNDC3B,NM_001135095,Q53EP0,FND3B_HUMAN,,,,TRUE
FNTB,NM_002028,P49356,FNTB_HUMAN,,TRUE,,TRUE
FOS,NM_005252,P01100,FOS_HUMAN,,TRUE,,
FOSL1,NM_005438,P15407,FOSL1_HUMAN,,TRUE,,
FOSL2,NM_005253,P15408,FOSL2_HUMAN,,TRUE,,TRUE
FOXQ1,NM_033260,Q9C009,FOXQ1_HUMAN,TRUE,,,
FRYL,NM_015030,O94915,FRYL_HUMAN,,,,TRUE
FSD1,NM_024333,Q9BTV5,FSD1_HUMAN,,,TRUE,
FTL,NM_000146,P02792,FRIL_HUMAN,,,,TRUE
FUCA2,NM_032020,Q9BTY2,FUCO2_HUMAN,,,,TRUE
FUSIP1,NM_006625,O75494-3,SRS10_HUMAN,,,TRUE,
FUT11,NM_173540,Q495W5,FUT11_HUMAN,,TRUE,,
FUT4,NM_002033,P22083,FUT4_HUMAN,TRUE,,,
FXYD5,NM_014164,Q96DB9,FXYD5_HUMAN,,,,TRUE
FZD6,NM_003506,O60353,FZD6_HUMAN,,,,TRUE
G3BP1,NM_005754,Q13283,G3BP1_HUMAN,TRUE,,,
G6PC3,NM_004225,Q9BUM1,G6PC3_HUMAN,,,,TRUE
GAA,NM_000152,P10253,LYAG_HUMAN,,,,TRUE
GAD1,NM_000817,Q99259,DCE1_HUMAN,,TRUE,,
GADD45B,NM_015675,O75293,GA45B_HUMAN,,TRUE,,
GAL,NM_015973,P22466,GALA_HUMAN,,,,TRUE
GALNT1,NM_020474,Q10472,GALT1_HUMAN,,,,TRUE
GALNT3,NM_004482,Q14435,GALT3_HUMAN,,,,TRUE
GALNT7,NM_017423,Q86SF2,GALT7_HUMAN,,,,TRUE
GALT,NM_015456,P07902,GALT_HUMAN,,,TRUE,
GAMT,NM_000156,Q14353,GAMT_HUMAN,,,TRUE,
GANAB,NM_198335,Q14697-2,GANAB_HUMAN,,,,TRUE
GAPDH,NM_002046,P04406,G3P_HUMAN,,TRUE,,
GART,NM_000819,P22102,PUR2_HUMAN,,TRUE,,TRUE
GAS5,NR_002578,,,,,,TRUE
GATC,NM_176818,O43716,GATC_HUMAN,,,TRUE,
GBAP,NR_002188,,,,,,TRUE
GBE1,NM_000158,Q04446,GLGB_HUMAN,,TRUE,,
GBF1,NM_004193,Q92538,GBF1_HUMAN,,,,TRUE
GCA,NM_012198,P28676,GRAN_HUMAN,,,TRUE,
GCC2,NM_001190728,Q8IWJ2,GCC2_HUMAN,,,,TRUE
GCH1,NM_000161,P30793,GCH1_HUMAN,,,TRUE,
GCSH,NM_013937,P23434,GCSH_HUMAN,,,TRUE,
GDE1,NM_016641,Q9NZC3,GDE1_HUMAN,,,,TRUE
GDF15,NM_004864,Q99988,GDF15_HUMAN,,,,TRUE
GDPD1,NM_001165993,Q8N9F7-3,GDPD1_HUMAN,,,,TRUE
GEMIN6,NM_024775,Q8WXD5,GEMI6_HUMAN,,,TRUE,
GFM1,NM_024996,Q96RP9,EFGM_HUMAN,,,,TRUE
GFPT1,NM_001244710,Q06210,GFPT1_HUMAN,,,,TRUE
GGH,NM_003878,Q92820,GGH_HUMAN,,,,TRUE
GIGYF2,NM_015575,Q6Y7W6,PERQ2_HUMAN,,,,TRUE
GINS1,NM_021067,Q14691,PSF1_HUMAN,,,TRUE,
GINS2,NM_016095,Q9Y248,PSF2_HUMAN,,,TRUE,
GJA3,NM_021954,Q9Y6H8,CXA3_HUMAN,,,,TRUE
GJB2,NM_004004,P29033,CXB2_HUMAN,,,,TRUE
GJC1,NM_001080383,P36383,CXG1_HUMAN,TRUE,,,
GLCE,NM_015554,O94923,GLCE_HUMAN,,,,TRUE
GLG1,NM_001145667,Q92896,GSLG1_HUMAN,,,,TRUE
GLRX,NM_002064,P35754,GLRX1_HUMAN,,TRUE,,
GLT8D1,NM_018446,Q68CQ7,GL8D1_HUMAN,,,,TRUE
GNS,NM_002076,P15586,GNS_HUMAN,,,,TRUE
GOLGB1,NM_002079,Q14789,GOGB1_HUMAN,,,,TRUE
GOLM1,NM_016548,Q8NBJ4,GOLM1_HUMAN,,,,TRUE
GOLT1B,NM_016072,Q9Y3E0,GOT1B_HUMAN,,,,TRUE
GOSR2,NM_054022,O14653-2,GOSR2_HUMAN,,,TRUE,
GPI,NM_000175,P06744,G6PI_HUMAN,,,,TRUE
GPR125,NM_145290,Q8IWK6,AGRA3_HUMAN,,,,TRUE
GPR126,NM_001032394,Q86SQ4,GP126_HUMAN,,,,TRUE
GPR160,NM_014373,Q9UJ42,GP160_HUMAN,,,,TRUE
GPR172A,NM_024531,Q9HAB3,S52A2_HUMAN,,,,TRUE
GPR177,NM_030824,Q5T9L3,WLS_HUMAN,,,,TRUE
GPR56,NM_005682,Q9Y653,AGRG1_HUMAN,,,,TRUE
GPR89A,NM_016334,B7ZAQ6,GPHRA_HUMAN,,,,TRUE
GPRC5A,NM_003979,Q8NFJ5,RAI3_HUMAN,,,,TRUE
GPSN2,NM_004869,Q9NZ01,TECR_HUMAN,,,,TRUE
GRB14,NM_004490,Q14449,GRB14_HUMAN,,,TRUE,
GRK6,NM_002082,P43250-2,GRK6_HUMAN,,,TRUE,
GRN,NM_002087,P28799,GRN_HUMAN,,,,TRUE
GRTP1,NM_024719,Q5TC63,GRTP1_HUMAN,,,TRUE,
GSDMD,NM_024738,P57764,GSDMD_HUMAN,,,TRUE,
GTF3C3,NM_004775,Q9Y5Q9,TF3C3_HUMAN,,,,TRUE
GUSB,NM_000181,P08236,BGLR_HUMAN,,,,TRUE
GYS1,NM_002103,P13807,GYS1_HUMAN,,,,TRUE
H2AFX,NM_002105,P16104,H2AX_HUMAN,TRUE,,TRUE,
H2BFS,NG_006504,P57053,H2BFS_HUMAN,,,TRUE,
H3F3B,NM_005324,P84243,H33_HUMAN,,,TRUE,
HABP4,NM_014282,Q5JVS0,HABP4_HUMAN,,,TRUE,
HAGHL,NM_032304,Q6PII5-2,HAGHL_HUMAN,,,TRUE,
HBEGF,NM_001945,Q99075,HBEGF_HUMAN,,,,TRUE
HDHD1A,NM_012080,Q08623,HDHD1_HUMAN,,,TRUE,
HEATR1,NM_018072,Q9H583,HEAT1_HUMAN,,,,TRUE
HEATR5B,NM_019024,Q9P2D3,HTR5B_HUMAN,,,,TRUE
HEATR6,NM_022070,Q6AI08,HEAT6_HUMAN,,,,TRUE
HELZ,NM_014877,P42694,HELZ_HUMAN,,,,TRUE
HERPUD1,NM_014685,Q15011,HERP1_HUMAN,,,,TRUE
HES1,NM_005524,Q14469,HES1_HUMAN,,TRUE,,
HES4,NM_001142467,Q9HCC6,HES4_HUMAN,,,TRUE,
HEXA,NM_000520,P06865,HEXA_HUMAN,,,,TRUE
HEXB,NM_000521,P07686,HEXB_HUMAN,,,,TRUE
HEXIM1,NM_006460,O94992,HEXI1_HUMAN,TRUE,,,
HHEX,NM_002729,Q03014,HHEX_HUMAN,,,TRUE,
HIAT1,NM_033055,Q96MC6,MF14A_HUMAN,,,,TRUE
HIC2,NM_015094,Q96JB3,HIC2_HUMAN,TRUE,,,
HIF1AN,NM_017902,Q9NWT6,HIF1N_HUMAN,TRUE,,,
HIGD1A,NM_014056,Q9Y241,HIG1A_HUMAN,,,TRUE,
HINT2,NM_032593,Q9BX68,HINT2_HUMAN,,,TRUE,
HIST1H2AC,NM_003512,Q93077,H2A1C_HUMAN,TRUE,,,
HIST1H2BE,NM_003523,P62807,H2B1C_HUMAN,,,TRUE,
HIST1H2BF,NM_003522,P62807,H2B1C_HUMAN,,,TRUE,
HIST1H2BK,NM_080593,O60814,H2B1K_HUMAN,,,TRUE,
HIST2H2AA3,NM_003516,Q6FI13,H2A2A_HUMAN,,TRUE,,
HK1,NM_000188,P19367,HXK1_HUMAN,,,,TRUE
HK2,NM_000189,P52789,HXK2_HUMAN,,TRUE,,TRUE
HLA-A,NM_005514,P01892,1A02_HUMAN,,,,TRUE
HLA-B,NM_005514,P01889,1B07_HUMAN,,,,TRUE
HLA-C,NM_006120,P04222,1C03_HUMAN,,,,TRUE
HLA-E,NM_005516,P13747,HLAE_HUMAN,,,,TRUE
HLA-F,NM_018950,P30511,HLAF_HUMAN,,,,TRUE
HLA-G,NM_002127,P17693,HLAG_HUMAN,,,,TRUE
HLTF,NM_003071,Q14527,HLTF_HUMAN,,,,TRUE
HMGA2,NM_003483,P52926,HMGA2_HUMAN,TRUE,,TRUE,
HMGCR,NM_000859,P04035,HMDH_HUMAN,TRUE,,,TRUE
HMMR,NM_012484,O75330,HMMR_HUMAN,,,,TRUE
HNRNPA3,NM_194247,P51991,ROA3_HUMAN,,,,TRUE
HNRNPM,NM_001997,P52272,HNRPM_HUMAN,,,,TRUE
HOMER3,NM_004838,Q9NSC5,HOME3_HUMAN,,,TRUE,
HOXA1,NM_005522,P49639,HXA1_HUMAN,TRUE,,,
HOXA7,NM_006896,P31268,HXA7_HUMAN,,,,TRUE
