Gene.Symbol,GenBank,UniProt,Name,Transcription.down,Transcription.up,translation.down,translation.up
HOXB8,NM_024016,P17481,HXB8_HUMAN,,,TRUE,
HPSE,NM_006666,Q9Y251,HPSE_HUMAN,,,,TRUE
HRSP12,NM_005836,P52758,UK114_HUMAN,,,TRUE,
HS2ST1,NM_014640,Q7LGA3,HS2ST_HUMAN,,,,TRUE
HS3ST1,NM_005114,O14792,HS3S1_HUMAN,,,,TRUE
HS6ST2,NM_194277,Q96MM7,H6ST2_HUMAN,,,,TRUE
HSCB,NM_172002,Q8IWL3,HSC20_HUMAN,,,TRUE,
HSD17B11,NM_016245,Q8NBQ5,DHB11_HUMAN,,,,TRUE
HSD17B12,NM_016142,Q53GQ0,DHB12_HUMAN,,,,TRUE
HSP90AA1,NM_001017963,P07900-2,HS90A_HUMAN,,,,TRUE
HSP90B1,NM_003299,P14625,ENPL_HUMAN,,,,TRUE
HSPA13,NM_006948,P48723,HSP13_HUMAN,,,,TRUE
HSPA1A,NM_005345,P0DMV8,HS71A_HUMAN,,,,TRUE
HSPA4,NM_002154,P34932,HSP74_HUMAN,,,,TRUE
HSPA4L,NM_014278,O95757,HS74L_HUMAN,,,,TRUE
HSPA5,NM_005347,P11021,GRP78_HUMAN,,,,TRUE
HSPA9,NM_004134,P38646,GRP75_HUMAN,,,,TRUE
HSPD1,NM_002156,P10809,CH60_HUMAN,,TRUE,,
HSPH1,NM_006644,Q92598,HS105_HUMAN,,,,TRUE
HUWE1,NM_031407,Q7Z6Z7,HUWE1_HUMAN,,,,TRUE
HYOU1,NM_001130991,Q9Y4L1,HYOU1_HUMAN,,,,TRUE
ICMT,NM_012405,O60725,ICMT_HUMAN,,,,TRUE
ID3,NM_002167,Q02535,ID3_HUMAN,TRUE,,,
IDS,NM_000202,P22304,IDS_HUMAN,,,,TRUE
IER5L,NM_203434,Q5T953,IER5L_HUMAN,TRUE,,,
IFI35,NM_005533,P80217-2,IN35_HUMAN,,,TRUE,
IFI6,NM_002038,P09912,IFI6_HUMAN,,,,TRUE
IFNAR2,NM_000874,P48551-2,INAR2_HUMAN,,,,TRUE
IFNGR1,NM_000416,P15260,INGR1_HUMAN,,,,TRUE
IFT52,NM_016004,Q9Y366,IFT52_HUMAN,,,TRUE,
IGF2,NM_000612,P01344,IGF2_HUMAN,,,,TRUE
IGFBP2,NM_000597,P18065,IBP2_HUMAN,,,,TRUE
IGFBP6,NM_002178,P24592,IBP6_HUMAN,,,,TRUE
IL10RB,NM_000628,Q08334,I10R2_HUMAN,,,,TRUE
IL13RA1,NM_001560,P78552,I13R1_HUMAN,,,,TRUE
IL6ST,NM_000880,P40189,IL6RB_HUMAN,,,,TRUE
ILKAP,NM_030768,Q9H0C8,ILKAP_HUMAN,,,TRUE,
IMPA2,NM_014214,O14732,IMPA2_HUMAN,,,TRUE,
IMPACT,NM_018439,Q9P2X3,IMPCT_HUMAN,,,TRUE,
IMPAD1,NM_017813,Q9NX62,IMPA3_HUMAN,,,,TRUE
INADL,NM_176877,Q8NI35,INADL_HUMAN,,,,TRUE
ING1,NM_198217,Q9UK53-4,ING1_HUMAN,,TRUE,,
INPP1,NM_001652,P49441,INPP_HUMAN,,,TRUE,
INSIG2,NM_016133,Q9Y5U4,INSI2_HUMAN,,TRUE,,TRUE
IPO7,NM_006391,O95373,IPO7_HUMAN,,,,TRUE
IPPK,NM_022755,Q9H8X2,IPPK_HUMAN,,,TRUE,
IQGAP1,NM_003870,P46940,IQGA1_HUMAN,,,,TRUE
IQGAP3,NM_178229,Q86VI3,IQGA3_HUMAN,,,,TRUE
IQWD1,NM_018442,Q58WW2-2,DCAF6_HUMAN,,,,TRUE
IRGQ,NM_001007561,Q8WZA9,IRGQ_HUMAN,TRUE,,,
IRS2,NM_003749,Q9Y4H2,IRS2_HUMAN,,,,TRUE
ISCA2,NM_152331,Q86U28,ISCA2_HUMAN,,,TRUE,
ISOC2,NM_024710,Q96AB3-2,ISOC2_HUMAN,,,TRUE,
ITFG1,NM_030790,Q8TB96,TIP_HUMAN,,,,TRUE
ITGA2,NM_000419,P17301,ITA2_HUMAN,,,,TRUE
ITGA3,NM_002204,P26006,ITA3_HUMAN,,,,TRUE
ITGA6,NM_000210,P23229-2,ITA6_HUMAN,,,,TRUE
ITGAV,NM_000887,P06756,ITAV_HUMAN,,,,TRUE
ITGB1,NM_002211,P05556,ITB1_HUMAN,,,,TRUE
ITGB4,NM_000213,P16144,ITB4_HUMAN,,,,TRUE
ITGB5,NM_002213,P18084,ITB5_HUMAN,,,,TRUE
ITM2B,NM_021999,Q9Y287,ITM2B_HUMAN,,,,TRUE
ITPR3,NM_002224,Q14573,ITPR3_HUMAN,,,,TRUE
ITPRIPL2,NM_001145545,Q3MIP1,IPIL2_HUMAN,TRUE,,,
JAG1,NM_000214,P78504,JAG1_HUMAN,,,,TRUE
JMJD1C,NM_004241,Q15652,JHD2C_HUMAN,,,,TRUE
JMJD6,NM_015168,Q6NYC1,JMJD6_HUMAN,,TRUE,,
JUN,NM_002228,P05412,JUN_HUMAN,,TRUE,,TRUE
JUP,NM_002230,P14923,PLAK_HUMAN,,,,TRUE
KBTBD7,NM_032138,Q8WVZ9,KBTB7_HUMAN,TRUE,,,
KCNK1,NM_002245,O00180,KCNK1_HUMAN,,,,TRUE
KCNN4,NM_002250,O15554,KCNN4_HUMAN,,,,TRUE
KCNQ2,NM_004518,O43526-3,KCNQ2_HUMAN,,,,TRUE
KCTD20,NM_173562,Q7Z5Y7,KCD20_HUMAN,TRUE,,,
KDELR1,NM_006801,P24390,ERD21_HUMAN,,,,TRUE
KDELR2,NM_006855,P33947,ERD22_HUMAN,,,,TRUE
KDELR3,NM_006855,O43731,ERD23_HUMAN,,,,TRUE
KDM3A,NM_018434,Q9Y4C1,KDM3A_HUMAN,,TRUE,,TRUE
KDM5B,NM_006618,Q9UGL1,KDM5B_HUMAN,,,,TRUE
KDSR,NM_002035,Q06136,KDSR_HUMAN,,,,TRUE
KIAA0090,NM_001162499,Q8N766,EMC1_HUMAN,,,,TRUE
KIAA0232,NM_001100590,Q92628,K0232_HUMAN,TRUE,,,
KIAA0564,NM_002015,A3KMH1,VWA8_HUMAN,,,,TRUE
KIAA0746,NM_015187,Q68CR1,SE1L3_HUMAN,,,,TRUE
KIAA0776,NM_015323,O94874,UFL1_HUMAN,,,,TRUE
KIAA0922,NM_001131007,A2VDJ0-5,T131L_HUMAN,,,,TRUE
KIAA1033,NM_015275,Q2M389,WASH7_HUMAN,,,,TRUE
KIAA1429,NM_015496,Q69YN4,VIR_HUMAN,,,,TRUE
KIAA1467,NM_020853,A2RU67,F234B_HUMAN,,,,TRUE
KIAA1715,NM_030650,Q9C0E8,LNP_HUMAN,,,,TRUE
KIAA1731,NM_033395,Q9C0D2,CE295_HUMAN,,,,TRUE
KIAA1804,NM_032435,Q5TCX8,M3KL4_HUMAN,,,TRUE,
KIAA2013,NM_138346,Q8IYS2,K2013_HUMAN,,TRUE,,TRUE
KIDINS220,NM_020738,Q9ULH0,KDIS_HUMAN,,,,TRUE
KIF11,NM_004523,P52732,KIF11_HUMAN,,,,TRUE
KIF15,NM_020242,Q9NS87,KIF15_HUMAN,,,,TRUE
KIF20A,NM_005733,O95235,KI20A_HUMAN,,,,TRUE
KIF20B,NM_016195,Q96Q89-3,KI20B_HUMAN,,,,TRUE
KIF2C,NM_006845,Q99661,KIF2C_HUMAN,,,,TRUE
KIF4A,NM_012310,O95239,KIF4A_HUMAN,,,,TRUE
KIFAP3,NM_014970,Q92845,KIFA3_HUMAN,,,,TRUE
KISS1R,NM_032551,Q969F8,KISSR_HUMAN,,,,TRUE
KLF11,NM_003597,O14901,KLF11_HUMAN,TRUE,,,
KLF3,NM_016531,P57682,KLF3_HUMAN,TRUE,,,
KLHDC2,NM_014315,Q9Y2U9,KLDC2_HUMAN,,,TRUE,
KLHDC8B,NM_173546,Q8IXV7,KLD8B_HUMAN,,,TRUE,
KLHL2,NM_007246,O95198,KLHL2_HUMAN,,,TRUE,
KLHL24,NM_017644,Q6TFL4,KLH24_HUMAN,,,,TRUE
KLHL5,NM_015990,Q96PQ7,KLHL5_HUMAN,,,TRUE,
KLK6,NM_002774,Q92876,KLK6_HUMAN,,,,TRUE
KNTC1,NM_014708,P50748,KNTC1_HUMAN,,,,TRUE
KRCC1,NM_016618,Q9NPI7,KRCC1_HUMAN,,,TRUE,
KRT23,NM_015515,Q9C075,K1C23_HUMAN,,,TRUE,
KRTAP2-4,NM_033184,Q9BYR9,KRA24_HUMAN,,,,TRUE
KTN1,NM_004986,Q86UP2-2,KTN1_HUMAN,,,,TRUE
LAMA2,NM_000426,P24043,LAMA2_HUMAN,,,TRUE,
LAMB1,NM_002291,P07942,LAMB1_HUMAN,,,,TRUE
LAMB3,NM_000228,Q13751,LAMB3_HUMAN,,,,TRUE
LAMC1,NM_002293,P11047,LAMC1_HUMAN,,,,TRUE
LAMP1,NM_005561,P11279,LAMP1_HUMAN,,,,TRUE
LAMP2,NM_013995,P13473-2,LAMP2_HUMAN,,,,TRUE
LAPTM4A,NM_014713,Q15012,LAP4A_HUMAN,,,,TRUE
LAPTM4B,NM_018407,Q86VI4-3,LAP4B_HUMAN,,,,TRUE
LARP6,NM_018357,Q9BRS8,LARP6_HUMAN,,,TRUE,
LARS,NM_020117,Q9P2J5,SYLC_HUMAN,,,,TRUE
LASS2,NM_013386,Q96G23,CERS2_HUMAN,,,,TRUE
LASS5,NM_147190,Q8N5B7,CERS5_HUMAN,,,,TRUE
LASS6,NM_203463,Q6ZMG9,CERS6_HUMAN,,,,TRUE
LATS1,NM_173464,O95835,LATS1_HUMAN,,TRUE,,TRUE
LCLAT1,NM_001002257,Q6UWP7-3,LCLT1_HUMAN,,,,TRUE
LDLRAD3,NM_174902,Q86YD5,LRAD3_HUMAN,,,,TRUE
LEMD1,NM_001199050,Q68G75,LEMD1_HUMAN,,,TRUE,
LEPROTL1,NM_001128208,O95214-2,LERL1_HUMAN,,,,TRUE
LGALS3BP,NM_005567,Q08380,LG3BP_HUMAN,,,,TRUE
LGALS8,NM_006499,O00214-2,LEG8_HUMAN,,TRUE,,
LGMN,NM_001164692,Q99538,LGMN_HUMAN,,,,TRUE
LIG4,NM_206937,P49917,DNLI4_HUMAN,TRUE,,,
LIMA1,NM_016357,Q9UHB6,LIMA1_HUMAN,,,,TRUE
LIPA,NM_000235,P38571,LICH_HUMAN,,,,TRUE
LMAN1,NM_005570,P49257,LMAN1_HUMAN,,,,TRUE
LMAN2,NM_006816,Q12907,LMAN2_HUMAN,,,,TRUE
LMAN2L,NM_030805,Q9H0V9,LMA2L_HUMAN,,,,TRUE
LMBR1,NM_022458,Q8WVP7,LMBR1_HUMAN,,,,TRUE
LMBRD1,NM_018368,Q9NUN5,LMBD1_HUMAN,,,,TRUE
LMLN,NM_033029,Q96KR4,LMLN_HUMAN,,,,TRUE
LOC100129513,NT_113965,,,,,,TRUE
LOC100130930,AK126579,,,,,TRUE,
LOC100131262,XR_171880,,,,,,TRUE
LOC100133315,NR_029192,,,,,,TRUE
LOC100133409,NM_020445,Q9P1U1,ARP3B_HUMAN,,,TRUE,
LOC100133775,NM_015622,P86790,CCZ1B_HUMAN,,,TRUE,
LOC100133842,NM_005567,Q08380,LG3BP_HUMAN,,,,TRUE
LOC100134295,NM_016354,Q96BD0,SO4A1_HUMAN,,,,TRUE
LOC284926,AK091355,,,,,TRUE,
LOC285735,BC039371,,,,,TRUE,
LOC389765,AK124523,,,,TRUE,,
LOC400657,AK001853,,,,,TRUE,
LOC643827,NG_027506,,,TRUE,,,
LOC729680,AK090664,,,,,TRUE,
LOC90826,NM_138364,Q6P2P2,ANM9_HUMAN,,,,TRUE
LOC93622,AK026375,,,TRUE,,TRUE,
LONRF1,NM_152271,Q17RB8,LONF1_HUMAN,,,TRUE,
LOXL2,NM_002318,Q9Y4K0,LOXL2_HUMAN,,,,TRUE
LRBA,NM_001199282,P50851-2,LRBA_HUMAN,,,,TRUE
LRIG2,NM_014813,O94898,LRIG2_HUMAN,,,,TRUE
LRP10,NM_014045,Q7Z4F1,LRP10_HUMAN,,,,TRUE
LRP2BP,NM_018409,Q9P2M1,LR2BP_HUMAN,,TRUE,,
LRPAP1,NM_002337,P30533,AMRP_HUMAN,,,,TRUE
LRPPRC,NM_133259,P42704,LPPRC_HUMAN,,,,TRUE
LRRC45,NM_144999,Q96CN5,LRC45_HUMAN,,,TRUE,
LRRC8C,NM_032270,Q8TDW0,LRC8C_HUMAN,,,,TRUE
LSR,NM_205834,Q86X29,LSR_HUMAN,,,,TRUE
LTBR,NM_145867,P36941,TNR3_HUMAN,,,,TRUE
LUZP1,NM_001142546,Q86V48,LUZP1_HUMAN,TRUE,,,
LYRM2,NM_001031628,Q9NU23,LYRM2_HUMAN,,,TRUE,
LYRM7,NM_181705,Q5U5X0,LYRM7_HUMAN,,,TRUE,
M6PR,NM_005898,P20645,MPRD_HUMAN,,,,TRUE
MAFF,NM_012323,Q9ULX9,MAFF_HUMAN,,TRUE,,
MAGT1,NM_032121,Q9H0U3,MAGT1_HUMAN,,,,TRUE
MALAT1,AF001542,Q9UHZ2,MALAT_HUMAN,,TRUE,,
MALAT1,NR_002819,Q9UHZ2,MALAT_HUMAN,,,,TRUE
MAN1A1,NM_005907,P33908,MA1A1_HUMAN,,,,TRUE
MAN1B1,NM_007231,Q9UKM7,MA1B1_HUMAN,,,,TRUE
MAN2A1,NM_002372,Q16706,MA2A1_HUMAN,,,,TRUE
MAN2A2,NM_006122,P49641,MA2A2_HUMAN,,,,TRUE
MAN2B1,NM_000528,O00754,MA2B1_HUMAN,,,,TRUE
MAN2B2,NM_015274,Q9Y2E5,MA2B2_HUMAN,,,,TRUE
MANBA,NM_005908,O00462,MANBA_HUMAN,,,,TRUE
MAP1B,NM_005909,P46821,MAP1B_HUMAN,,,,TRUE
MAP2K2,NM_030662,P36507,MP2K2_HUMAN,,,TRUE,
MAP4,NM_033063,P27816,MAP4_HUMAN,,,,TRUE
MAPKAPK5,NM_003668,Q8IW41-2,MAPK5_HUMAN,,,TRUE,
MAPKSP1,NM_021970,Q9UHA4,LTOR3_HUMAN,,,TRUE,
MARCH6,NM_001025107,O60337,MARH6_HUMAN,,,,TRUE
MAT2A,NM_005911,P31153,METK2_HUMAN,TRUE,,,
MAX,NM_145112,P61244-2,MAX_HUMAN,,,TRUE,
MBNL2,NM_144778,Q5VZF2-2,MBNL2_HUMAN,,,,TRUE
MBTPS1,NM_003791,Q14703,MBTP1_HUMAN,,,,TRUE
MBTPS2,NM_015884,O43462,MBTP2_HUMAN,,,,TRUE
MCAM,NM_006500,P43121,MUC18_HUMAN,,,TRUE,
MCEE,NM_032601,Q96PE7,MCEE_HUMAN,,,TRUE,
MCFD2,NM_139279,Q8NI22,MCFD2_HUMAN,,,,TRUE
MDC1,NM_014641,Q14676,MDC1_HUMAN,,,,TRUE
MED23,NM_001244,Q9ULK4,MED23_HUMAN,,,,TRUE
MED31,NM_016060,Q9Y3C7,MED31_HUMAN,,,TRUE,
MED4,NM_014166,Q9NPJ6,MED4_HUMAN,,,TRUE,
MED6,NM_005466,O75586,MED6_HUMAN,,TRUE,,
MESDC2,NM_015154,Q14696,MESD_HUMAN,,,,TRUE
MET,NM_000245,P08581,MET_HUMAN,,,,TRUE
METAP2,NM_006838,P50579,MAP2_HUMAN,,,TRUE,
MFF,NM_020195,Q9GZY8,MFF_HUMAN,,,TRUE,
MFHAS1,NM_004225,Q9Y4C4,MFHA1_HUMAN,,,TRUE,
MFSD1,NM_001167903,Q9H3U5-5,MFSD1_HUMAN,,,,TRUE
MFSD6,NM_017694,Q6ZSS7,MFSD6_HUMAN,,,,TRUE
MIA3,NM_198551,Q5JRA6,MIA3_HUMAN,,,,TRUE
MICA,NM_000247,Q29983,MICA_HUMAN,,,,TRUE
MIF4GD,NM_020679,A9UHW6-2,MI4GD_HUMAN,,,TRUE,
MKI67,NM_001145966,P46013-2,KI67_HUMAN,,,,TRUE
MKLN1,NM_004316,Q9UL63,MKLN1_HUMAN,,,,TRUE
MKRN1,NM_001145125,Q9UHC7-4,MKRN1_HUMAN,,TRUE,,
MLF1,NM_022443,P58340,MLF1_HUMAN,,,TRUE,
MLLT3,NM_004529,P42568,AF9_HUMAN,,,TRUE,
MMAB,NM_001135187,Q96EY8,MMAB_HUMAN,,,TRUE,
MMGT1,NM_173470,Q8N4V1,MMGT1_HUMAN,,,,TRUE
MND1,NM_032117,Q9BWT6,MND1_HUMAN,,TRUE,,
MOBKL1A,NM_173468,Q7L9L4,MOB1B_HUMAN,TRUE,,,
MORC3,NM_015358,Q14149,MORC3_HUMAN,,,,TRUE
MORF4L2,NM_012286,Q15014,MO4L2_HUMAN,,TRUE,,
MPHOSPH8,NM_017520,Q99549,MPP8_HUMAN,,,,TRUE
MPST,NM_021126,P25325-2,THTM_HUMAN,,,TRUE,
MPV17L2,NM_032683,Q567V2,M17L2_HUMAN,,,TRUE,
MPZL1,NM_024569,O95297-3,MPZL1_HUMAN,,,,TRUE
MRE11A,NM_005590,P49959-2,MRE11_HUMAN,,,,TRUE
MRFAP1L1,NM_203462,Q96HT8,MR1L1_HUMAN,TRUE,,,
MRP63,NM_024026,Q9BQC6,RT63_HUMAN,,,TRUE,
MRPL12,NM_002949,P52815,RM12_HUMAN,,,TRUE,
MRPL34,NM_023937,Q9BQ48,RM34_HUMAN,,,TRUE,
MRPL36,NM_032479,Q9P0J6,RM36_HUMAN,,,TRUE,
MRPL38,NM_032478,Q96DV4,RM38_HUMAN,,,TRUE,
MRPL41,NM_032477,Q8IXM3,RM41_HUMAN,,,TRUE,
MRPL43,NM_032112,Q8N983-4,RM43_HUMAN,,,TRUE,
MRPS12,NM_021107,O15235,RT12_HUMAN,,,TRUE,
MRPS16,NM_016065,Q9Y3D3,RT16_HUMAN,,,TRUE,
MRPS26,NM_030811,Q9BYN8,RT26_HUMAN,,,TRUE,
MRPS34,NM_023936,P82930,RT34_HUMAN,,,TRUE,
MRPS7,NM_015971,Q9Y2R9,RT07_HUMAN,,,TRUE,
MSN,NM_002444,P26038,MOES_HUMAN,,,,TRUE
MSRB2,NM_012228,Q9Y3D2,MSRB2_HUMAN,,,TRUE,
MSTO1,NM_018120,Q9BUK6,MSTO1_HUMAN,,,TRUE,
MSX1,NM_002448,P28360,MSX1_HUMAN,,,TRUE,
MTDH,NM_178812,Q86UE4,LYRIC_HUMAN,,,,TRUE
MTERFD3,NM_005436,Q49AM1,MTEF2_HUMAN,,,TRUE,
MTFMT,NM_139242,Q96DP5,FMT_HUMAN,,,TRUE,
MTMR14,NM_022485,Q8NCE2-3,MTMRE_HUMAN,,,TRUE,
MTR,NM_000254,Q99707,METH_HUMAN,,,,TRUE
MUT,NM_000255,P22033,MUTA_HUMAN,,,,TRUE
MXD1,NM_002357,Q05195,MAD1_HUMAN,,TRUE,,
MXD4,NM_006454,Q14582,MAD4_HUMAN,,,TRUE,
MYADM,NM_138374,Q96S97,MYADM_HUMAN,,,,TRUE
MYCBP,NM_012139,Q99417,MYCBP_HUMAN,,,TRUE,
MYCBP2,NM_015057,O75592,MYCB2_HUMAN,,,,TRUE
MYH10,NM_001040113,P35580,MYH10_HUMAN,,,,TRUE
MYH9,NM_002473,P35579,MYH9_HUMAN,,,,TRUE
MYO10,NM_012334,Q9HD67,MYO10_HUMAN,,,,TRUE
MYO1D,NM_015194,O94832,MYO1D_HUMAN,,,,TRUE
MYO1E,NM_004998,Q12965,MYO1E_HUMAN,,,,TRUE
MYO6,NM_004999,Q9UM54,MYO6_HUMAN,,,,TRUE
MYOF,NM_013451,Q9NZM1,MYOF_HUMAN,,,,TRUE
MYST2,NM_007067,O95251,KAT7_HUMAN,,,,TRUE
NACA,NM_199290,Q13765,NACA_HUMAN,,TRUE,,
NAGK,NM_017567,Q9UJ70-2,NAGK_HUMAN,,,TRUE,
NAMPT,NM_005746,P43490,NAMPT_HUMAN,,TRUE,,
NAPEPLD,NM_020725,Q6IQ20,NAPEP_HUMAN,TRUE,,,
NARG1,NM_057175,Q9BXJ9,NAA15_HUMAN,,,,TRUE
NAT10,NM_018214,Q9H0A0,NAT10_HUMAN,,,,TRUE
NAT11,NM_024771,Q86UY6,NAA40_HUMAN,,,TRUE,
NAV1,NM_001167738,Q8NEY1-5,NAV1_HUMAN,,,,TRUE
NAV3,NM_014903,Q8IVL0-2,NAV3_HUMAN,,,,TRUE
NBAS,NM_001014433,A2RRP1,NBAS_HUMAN,,,,TRUE
NBPF10,NM_001039703,Q6P3W6,NBPFA_HUMAN,TRUE,,,
NCAPG,NM_022346,Q9BPX3,CND3_HUMAN,,,,TRUE
NCSTN,NM_015331,Q92542,NICA_HUMAN,,,,TRUE
ND2,YP_003024027,P03891,NU2M_HUMAN,,,,TRUE
ND3,NM_021025,P03897,NU3M_HUMAN,,,,TRUE
ND6,YP_003024037,P03923,NU6M_HUMAN,,,,TRUE
NDRG1,NM_006096,Q92597,NDRG1_HUMAN,,TRUE,,
NDST1,NM_001543,P52848,NDST1_HUMAN,,,,TRUE
NDUFAF4,NM_014165,Q9P032,NDUF4_HUMAN,,,TRUE,
NDUFB1,NM_004545,O75438-2,NDUB1_HUMAN,,,TRUE,
NDUFB10,NM_004548,O96000,NDUBA_HUMAN,,,TRUE,
NDUFB2,NM_004546,O95178,NDUB2_HUMAN,,,TRUE,
NDUFB7,NM_004146,P17568,NDUB7_HUMAN,,,TRUE,
NDUFS8,NM_002496,O00217,NDUS8_HUMAN,,,TRUE,
NECAP2,NM_018090,Q9NVZ3,NECP2_HUMAN,,TRUE,,
NEK4,NM_001193533,P51957-3,NEK4_HUMAN,,,TRUE,
NEO1,NM_000434,Q92859,NEO1_HUMAN,,,,TRUE
NFAT5,NM_138713,O94916-5,NFAT5_HUMAN,,,,TRUE
NFATC2IP,NM_032815,Q8NCF5,NF2IP_HUMAN,TRUE,,,
NFE2L1,NM_003204,Q14494,NF2L1_HUMAN,,,,TRUE
NFIL3,NM_005384,Q16649,NFIL3_HUMAN,,TRUE,,
NFYA,NM_002505,P23511,NFYA_HUMAN,TRUE,,,TRUE
NGLY1,NM_018297,Q96IV0,NGLY1_HUMAN,,TRUE,,
NIPBL,NM_015384,Q6KC79-2,NIPBL_HUMAN,,,,TRUE
NKTR,NM_005385,P30414,NKTR_HUMAN,,,,TRUE
NME5,NM_003551,P56597,NDK5_HUMAN,,,TRUE,
NME7,NM_013330,Q9Y5B8,NDK7_HUMAN,,,,TRUE
NMRAL1,NM_020677,Q9HBL8,NMRL1_HUMAN,,,TRUE,
NMU,NM_006681,P48645,NMU_HUMAN,,,,TRUE
NOMO1,NM_014287,Q15155,NOMO1_HUMAN,,,,TRUE
NOTCH3,NM_000435,Q9UM47,NOTC3_HUMAN,TRUE,,,
NPC1,NM_000271,O15118,NPC1_HUMAN,,,,TRUE
NPC2,NM_006432,P61916,NPC2_HUMAN,,,,TRUE
NPNT,NM_152773,Q6UXI9,NPNT_HUMAN,,,,TRUE
NPTN,NM_012428,Q9Y639,NPTN_HUMAN,,,,TRUE
NQO2,NM_000904,P16083,NQO2_HUMAN,,,TRUE,
NR1D1,NM_003250,P20393,NR1D1_HUMAN,,,,TRUE
NR1H3,NM_005693,Q13133,NR1H3_HUMAN,,,,TRUE
NRBP2,NM_178564,Q9NSY0,NRBP2_HUMAN,,,TRUE,
NSF,NM_001204813,P46459,NSF_HUMAN,,,,TRUE
NSMCE4A,NM_017621,Q9NXX6,NSE4A_HUMAN,,,TRUE,
NT5DC2,NM_001134231,Q9H857-2,NT5D2_HUMAN,,,TRUE,
NT5E,NM_001204813,P21589-2,5NTD_HUMAN,,,,TRUE
NUCB1,NM_006184,Q02818,NUCB1_HUMAN,,,,TRUE
NUCB2,NM_005013,P80303,NUCB2_HUMAN,,,,TRUE
NUDT1,NM_002452,P36639-4,8ODP_HUMAN,,,TRUE,
NUDT22,NM_032344,Q9BRQ3,NUD22_HUMAN,,,TRUE,
NUDT6,NM_007083,P53370,NUDT6_HUMAN,,,TRUE,
NUDT7,NM_001105663,P0C024,NUDT7_HUMAN,,,TRUE,
NUFIP2,NM_020772,Q7Z417,NUFP2_HUMAN,TRUE,,,
NUP107,NM_020401,P57740,NU107_HUMAN,,,,TRUE
NUP133,NM_018230,Q8WUM0,NU133_HUMAN,,,,TRUE
NUP155,NM_153485,O75694,NU155_HUMAN,,,,TRUE
NUP160,NM_015231,Q12769,NU160_HUMAN,,,,TRUE
NUP205,NM_015135,Q92621,NU205_HUMAN,,,,TRUE
NUP210,NM_024923,Q8TEM1,PO210_HUMAN,,,,TRUE
NUP98,NM_005387,P52948-3,NUP98_HUMAN,,,,TRUE
NUPL1,NM_014779,Q9BVL2,NUP58_HUMAN,,TRUE,,
OAS3,NM_006187,Q9Y6K5,OAS3_HUMAN,,,,TRUE
OBFC1,NM_024928,Q9H668,STN1_HUMAN,,,TRUE,
OFD1,NM_003611,O75665,OFD1_HUMAN,,,,TRUE
OGFRL1,NM_024576,Q5TC84,OGRL1_HUMAN,TRUE,,,
OIP5,NM_007280,O43482,MS18B_HUMAN,,,TRUE,
ORC6L,NM_001197259,Q9Y5N6,ORC6_HUMAN,,,TRUE,
OS9,NM_006812,Q13438,OS9_HUMAN,,,,TRUE
OSMR,NM_138775,Q99650,OSMR_HUMAN,,TRUE,,TRUE
OSR2,NM_001142462,Q8N2R0,OSR2_HUMAN,,,TRUE,
P4HA1,NM_000917,P13674-2,P4HA1_HUMAN,,TRUE,,
P4HA1,NM_000918,P13674,P4HA1_HUMAN,,,,TRUE
P4HA2,NM_003940,O15460,P4HA2_HUMAN,,,,TRUE
P4HB,NM_000918,P07237,PDIA1_HUMAN,,,,TRUE
