Gene.Names,Protein.Descriptions,Entry,PDAC.Benign.fold.change.,t.test.pvalue
KIAA0568;PPL,Periplakin,O60437,1601.356694,0.006207927
FP17425;KIAA2034;MYH14,"myosin, heavy chain 14",Q7Z406,284.3199071,0.01716167
EIF1;SUI1;hCG_1771529;EIF1B;GC,"Eukaryotic translation",P41567,96.26117089,0.008111033
LGALS4;hCG_20525,Galectin-4,P56470,86.9085916,0.000129074
C1QBP;GC1QBP;HABP1;SF2P32,Complement,Q07021,79.23458424,0.007125082
AAG13;S100A16;S100F;hCG_174,"Protein S100-A16",Q96FQ6,41.61398019,0.04347726
CCT1;CCTA;TCP1,"T-complex protein 1",P17987,34.29783417,0.000760884
EPLIN;LIMA1;PP624;SREBP3,"LIM domain and actin",Q9UHB6,25.91009374,0.043207509
M6PR;MPR46;MPRD;hCG_25213,Cation-dependent,P20645,25.0743319,0.001861932
EZR;VIL2,"Ezrin;69 kDa protein",P15311,20.23130919,0.00801939
RPS19;hCG_1995572,"40S ribosomal protein",P39019,19.26967419,0.016536987
MLC2;MRLC1;MYL9;MYRL2;hCG_,"Myosin regulatory light",P24844,17.81921764,0.022600811
VASP,Vasodilator-stimulated,P50552,17.39248645,0.012544297
MLN70;S100A11;S100C,"Protein S100-A11",P31949,15.81736959,0.003820561
CD163;M130;hCG_1811758,"Isoform 2 of Scavenger",Q86VB7,14.87084887,0.228238986
TBCA;hCG_2016016,Tubulin-specific,O75347,14.53095921,0.021774579
FTE1;MFTL;RPS3A;hCG_2026261,"40S ribosomal protein",P61247,14.50190576,0.055796886
HDGF;HMG1L2;hCG_1775235;RP,Hepatoma-derived,P51858,14.30458369,0.047086878
ATP6V1F;ATP6S14;VATF;hCG_41,Putative,Q16864,14.15752947,0.033942869
M6PRBP1;PLIN3;TIP47,"Isoform B of Perilipin-",O60664,14.03165524,0.035417121
RCN;RCN1;hCG_27854,Reticulocalbin-1,Q15293,12.89583923,0.034365469
KRT1;KRTA,"Keratin, type II",P04264,12.72246536,0.019734092
CALU;hCG_41656;tcag7.422,"cDNA FLJ31776 fis,",O43852,12.49635694,0.052091598
CAPL;MTS1;S100A4;hCG_203963,"Protein S100-A4",P26447,12.48502546,0.010685374
UQCRH;hCG_22091,"Cytochrome b-c1",P07919,12.09797317,0.04746051
RPL8;hCG_24000,"32 kDa protein;60S",P62917,11.8471647,0.029022861
,"similar to actin alpha 1",P68133,11.61183133,0.267727966
H1F0;H1FV,"Histone H1.0",P07305,11.37591523,0.049671403
CLGI;TIMP;TIMP1;hCG_29141;RP,Metalloproteinase,P01033,11.13478396,0.10572173
CNBP;RNF163;ZNF9;hCG_20000,"Isoform 1 of Cellular",P62633,11.09471214,0.027981008
"NUMA1 variant","NUMA1 variant protein",Q14980,11.00170258,0.056283625
TXNDC17;TXNL5,"Thioredoxin domain-",Q9BRA2,10.8463381,0.096166397
HNRPG;RBMX;RBMXP1;hCG_183,"Heterogeneous nuclear",P38159,10.73763844,0.101372981
HMGB1;RP11-550P23.1-,"High-mobility group box",P09429,10.63060166,0.0351516
KRT19;JUP,">P08727 SWISS-",P08727,10.29556536,0.033368316
VTN,Vitronectin,P04004,10.11495041,0.290063799
RPS20,"ribosomal protein S20",P60866,10.05914908,0.030673661
MECP2,"Isoform B of Methyl-",P51608,9.736224411,0.129767158
CTTN;EMS1;hCG_23463,"Src substrate",Q14247,9.561915841,0.006429512
ASF;OK/SW-,"Isoform ASF-1 of",Q07955,9.082263754,0.031561419
PTMA;TMSA;PTMAP7;RP11-,"Isoform 1 of",P06454,8.937895541,0.268712195
OK/SW-,"40S ribosomal protein",P62241,8.931522189,0.192419066
AUF1;HNRNPD;HNRPD,"Isoform 1 of",Q14103,8.831452463,0.023132498
IFI53;WARS;WRS,"Isoform 1 of",P23381,8.59450875,0.066146037
GRN;hCG_30297,"Isoform 1 of",P28799,8.232068657,0.176512215
ACHAP;C6orf82;CUTA,"Isoform A of Protein",O60888,8.062689494,0.087399896
IOPPP;PP;PPA1,Inorganic,Q15181,8.017394176,0.005864318
hCG_1988529;RPL23A,"Ribosomal protein L23a,",P62750,7.917864726,0.063831735
KRT7;SCL,"Keratin, type II",P08729,7.897150246,0.076938002
SYNGR2;UNQ352/PRO615,SYNGR2,O43760,7.879388702,0.117977394
EEF1B;EEF1B2;EF1B;hCG_19809;L,"Elongation factor 1-",P24534,7.691803606,0.060176413
STIP1,Stress-induced-,P31948,7.676756358,0.020503159
ALDA;ALDOA,"45 kDa protein;Fructose-",P04075,7.414948959,0.00558019
C20orf116;DDRGK1,"Isoform 1 of DDRGK",Q96HY6,7.365067676,0.081616662
CD36L2;LIMPII;SCARB2;hCG_2384,"Lysosome membrane",Q14108,7.148800879,0.012791514
MIG5;RAC1;TC25;hCG_14926;tca,"Isoform B of Ras-related",P63000,6.85275843,0.059499927
HSPC190;PACAP,"Isoform 1 of Plasma cell-",Q8WU39,6.798698433,0.115460582
SET;hCG_40357;RP11-216B9.3-,"Isoform 1 of Protein",Q01105,6.787307102,0.023383286
TPM4,"Isoform 2 of",P67936,6.762979511,0.012932064
CAD;CALD1;CDM;hCG_17453;DKF,"cDNA FLJ53193, highly",Q05682,6.629171561,0.042513
HLA-A;XXbac-BPG309N1.2-,"Major histocompatibility",P04439,6.628471916,0.033185236
HNRPCL2;P542;RALY;hCG_37136;,"RNA binding protein,",Q9UKM9,6.545305371,0.130472202
EIF5A;hCG_1991350;EIF5AL1,"Isoform 2 of Eukaryotic",P63241,6.545255876,0.067205109
HMGA1;HMGIY;RP11-513I15.2-,"Isoform HMG-Y of High",P17096,6.47521516,0.032623866
HNRNPA3;HNRPA3;hCG_2005824,"Isoform 1 of",P51991,6.456888214,0.032505746
ATP5A;ATP5J;ATPM;hCG_200784,"ATP synthase, H+",P18859,6.38639383,0.035669874
ARC34;ARPC2;PRO2446;hCG_163,"Actin-related protein",O15144,6.27633144,0.038508845
CFL;CFL1,Cofilin-1;cDNA,P23528,6.171686877,0.047274719
CYK8;KRT8,"Keratin, type II",P05787,6.058723082,0.036748469
H1F4;HIST1H1E;hCG_1645742,"Histone H1.4",P10412,6.031919052,0.016371185
Krt1-17;Krt17,">Q9QWL7 SWISS-",Q04695,5.919993396,0.382710124
HNRNPA2B1;HNRPA2B1,"Isoform B1 of",P22626,5.847487758,0.012903834
MYL6,"cDNA FLJ56329, highly",P60660,5.811695669,0.036766897
HCLS1;HS1,"Hematopoietic lineage",P14317,5.788305789,0.045352751
THBS2;TSP2;DKFZp686G02190;XX,Thrombospondin-,P35442,5.686530828,0.05683213
CD16A;FCG3;FCGR3;FCGR3A;IGFR,"Fc fragment of IgG, low",P08637,5.660229227,0.25297212
OK/SW-,"40S ribosomal protein",P62753,5.658064328,0.113120128
ATOX1;HAH1;hCG_39148,"Copper transport",O00244,5.639082455,0.058644173
ECGF1;TYMP,Thymidine,P19971,5.628641435,0.015433994
CG1;KIAA0004;KTN1,"Isoform 1 of",Q86UP2,5.532038986,0.105246454
LRRC59;PRO1855;hCG_29632,"Leucine-rich repeat-",Q96AG4,5.520915114,0.09447756
CD9P1;EWIF;FPRP;KIAA1436;PTG,"Prostaglandin F2",Q9P2B2,5.518818087,0.048870417
IFI5111;PSME1;hCG_40175,"Proteasome activator",Q06323,5.483750422,0.024800815
RPL23,"60S ribosomal protein",P62829,5.373336233,0.092506936
RP11-290D2.1-,"Tumor protein,",P13693,5.29165108,0.129044642
AOP1;PRDX3;hCG_37898;mer5,Thioredoxin-dependent,P30048,5.254686382,0.04749891
UBCE7;UBCH7;UBE2L3,"Ubiquitin carrier",P68036,5.21026111,0.025950911
EIF1AY;EIF1A;EIF1AX;EIF4C,Putative,O14602,5.110144762,0.011111128
ATP1A1;hCG_37943;RP4-,"Na+/K+ -ATPase alpha 1",P05023,5.098946412,0.0611755
CDABP0035;KIAA0120;TAGLN2,"24 kDa",P37802,5.097375949,0.026488823
GRP94;HSP90B1;TRA1,Endoplasmin;cDNA,P14625,5.047450768,0.101600269
PAB1;PABP1;PABPC1;PABPC2;PA,"Isoform 1 of",P11940,4.993284268,0.020291291
PSF;SFPQ,"Isoform Long of Splicing",P23246,4.923527283,0.066213906
D6S218E;RPS18;DADB-159G18.1-,"40S ribosomal protein",P62269,4.896873966,0.153239475
ACTBL2,"Beta-actin-like protein 2",Q562R1,4.885281647,0.485924321
RPS12,"40S ribosomal protein",P25398,4.792601662,0.055218646
CLTA,"Isoform Brain of Clathrin",P09496,4.741575186,0.036035066
LDHA;PIG19;hCG_96677,"lactate dehydrogenase",P00338,4.711200227,0.040236599
HNRNPA1;HNRPA1;HNRPA1L3;H,"Isoform A1-B of",P09651,4.671602343,0.036700844
HNRNPU;HNRPU;SAFA;U21.1;RP1,"Isoform Long of",Q00839,4.650934805,0.042808897
SFRS7;9g8;AAG3;hCG_15878,"Isoform 1 of Splicing",Q16629,4.647684013,0.030422183
ANP32A;C15orf1;LANP;MAPM;PH,"Acidic leucine-rich",P39687,4.607046692,0.076677209
PLEC1;hCG_1994702;hCG_19947,"Isoform 1 of Plectin-",Q15149,4.577723952,0.064749932
hCG_22755;RP4-591C20.2-,"tumor protein D52-like",O43399,4.557371744,0.108738099
CNPY2;MSAP;TMEM4;UNQ1943/,"Isoform 1 of Protein",Q9Y2B0,4.542518871,0.086375909
NUC;NUCB1,Nucleobindin-1;cDNA,Q02818,4.492829028,0.091318762
RPL17,Putative,P18621,4.441949908,0.239671065
HSD48;NACA;hCG_2016482,"nascent polypeptide-",Q13765,4.370755845,0.006119368
COX5A,"Cytochrome c oxidase",P20674,4.308943954,0.101221934
B2M;CDABP0092;HDCMA22P;bet,"cDNA FLJ57067, highly",P61769,4.307309091,0.106804767
LGALS3;MAC2,Galectin-3,P17931,4.296447578,0.132546164
COMP,"Cartilage oligomeric",P49747,4.266348921,0.058435475
MCB1;PSMD4;hCG_1741224;RP1,"Proteasome (Prosome,",P55036,4.249909591,0.151836828
TPM4,"Isoform 1 of",P67936,4.208069579,0.074066895
THSD4;UNQ9334/PRO34005,"Isoform 1 of",Q6ZMP0,4.160631464,0.148386213
CD44;LHR;MDU2;MDU3;MIC4;hC,"CD44 antigen isoform 1",P16070,4.141382034,0.01146258
C5orf18;DP1;REEP5;TB2;hCG_379,"Receptor expression-",Q00765,4.138927914,0.024451901
hCG_1739142;SH3BGRL3;P1725;,"SH3 domain binding",Q9H299,4.130830332,0.048532656
CAPN4;CAPNS;CAPNS1,"Calpain small subunit 1",P04632,4.127506511,0.082451303
COX6B;COX6B1,"12 kDa",P14854,4.123828939,0.0739456
C12orf8;ERP28;ERP29,"Endoplasmic reticulum",P30040,4.100783071,0.130589575
EIF4B,"cDNA FLJ54492, highly",P23588,4.082370256,0.006661031
G19P1;PRKCSH,"cDNA FLJ59211, highly",P14314,4.075448848,0.004545939
IGHEP1;ITIH1,Inter-alpha-trypsin,P19827,4.066097315,0.098646477
ENIGMA;PDLIM7,"Isoform 1 of PDZ and",Q9NR12,4.05172225,0.059881358
MDH2,"Malate dehydrogenase,",P40926,4.041052911,0.367176488
LMN2;LMNB2,Lamin-B2;Lamin-B2,Q03252,4.015796907,0.135444915
ANP32B;APRIL;PHAPI2;RP11-,"Isoform 1 of Acidic",Q92688,4.009758556,0.051903278
TPM3;RP11-205M9.1-002,"tropomyosin 3 isoform",P06753,4.008490824,0.013210018
HARS2;HARSL;HARSR;HO3;hCG_1,"Probable histidyl-tRNA",P49590,3.988001085,0.118284976
hCG_2016483;PTGES3;P23;TEBP,"Prostaglandin E",Q15185,3.980427746,0.124212178
HSP90AB1;HSP90B;HSPC2;HSPCB,"Heat shock protein HSP",P08238,3.980326173,0.1471277
RRBP1;KIAA1398;RP11-462D18.3-,p180/ribosome,Q9P2E9,3.974407088,0.049920466
HSP90A;HSP90AA1;HSPC1;HSPCA,"Isoform 2 of Heat shock",P07900,3.954163875,0.053815045
CANX;hCG_1985937,"cDNA FLJ55574, highly",P27824,3.946123714,0.036436906
D11S2243E;RPLP2;RPP2;hCG_177,"60S acidic ribosomal",P05387,3.938345083,0.028344433
BSG;UNQ6505/PRO21383;hCG_2,"Isoform 1 of",P35613,3.929353497,0.021418414
FUBP2;KHSRP,"KH-type splicing",Q92945,3.908629442,0.028373346
NEFA;NUCB2;hCG_15642;Nucb2,"Isoform 1 of",P80303,3.902604052,0.035490166
GRP170;HYOU1;ORP150;DKFZp68,"Hypoxia up-regulated",Q9Y4L1,3.893639201,0.070611914
CACY;S100A6;hCG_1641470,"Protein S100-A6",P06703,3.816996673,0.166155876
C6orf34;HEBP2;SOUL,"HEBP2 protein",Q9Y5Z4,3.814930397,0.188499702
,"25 kDa protein;25 kDa",NA,3.808948561,0.47357653
CST6;CSTB;STFB;hCG_401291,Cystatin-B,P04080,3.793807262,0.069855212
CMK;CMPK;CMPK1;UCK;UMK;U,"UMP-CMP kinase 1",P30085,3.748195528,0.036602545
BST2,"cDNA FLJ59809, highly",Q10589,3.662332678,0.044436771
APOA4,"Apolipoprotein A-",P06727,3.657518002,0.055857497
CBX3;CCDC32;hCG_1745364;hCG,"Chromobox protein",Q13185,3.639165924,0.091649282
PDLIM4;RIL,"Isoform 1 of PDZ and",P50479,3.615432796,0.129865065
HNRNPH1;HNRPH;HNRPH1;hCG_,"51 kDa",P31943,3.612830628,0.010526874
TRDX;TRX;TRX1;TXN;hCG_28763;,Thioredoxin;Thioredoxin,P10599,3.602391347,0.064957208
TGM2;RP5-1054A22.2-,"Isoform 1 of Protein-",P21980,3.586853684,0.322795288
OIP3;PK2;PK3;PKM;PKM2,"Isoform M2 of Pyruvate",P14618,3.580361577,0.018812504
ERP57;ERP60;GRP58;PDIA3,"Protein disulfide-",P30101,3.568275869,0.018808092
PC4;RPO2TC1;SUB1;hCG_178193,"Activated RNA",P53999,3.563713915,0.022397151
RPL7A;SURF3;SURF-,"60S ribosomal protein",P62424,3.515686747,0.100964031
EEF1A;EEF1A1;EF1A;LENG7;EEF1,"Elongation factor 1-",P68104,3.506197875,0.145054449
THBS1;TSP;TSP1,Thrombospondin-,P07996,3.465965143,0.022328421
OSF2;POSTN;RP11-412K4.1-,"Periostin, osteoblast",Q15063,3.463899554,0.156029768
NEDD6;RPL10A;hCG_1787790,"60S ribosomal protein",P62906,3.459602611,0.35235396
TPM3;hCG_1997142;RP11-,"Isoform 2 of",P06753,3.432239627,0.078520539
HNRNPK;HNRPK;RP11-575L7.1-,"Isoform 3 of",P61978,3.429774094,0.041705867
COX5B,"Cytochrome c oxidase",P10606,3.413076658,0.058917873
CAST,"Isoform 6 of",P20810,3.39803174,0.233967365
RAB1B;rab1b;RAB1C;RAB1;RAB1A,"Ras-related protein Rab-",Q9H0U4,3.397040799,0.088263866
RPS9;hCG_2009111;XXbac-,"40S ribosomal protein",P46781,3.388375188,0.137834368
NDUFS6;hCG_21432,"NADH dehydrogenase",O75380,3.37345584,0.090274477
ATP5B;ATPMB;ATPSB,"ATP synthase subunit",P06576,3.360846942,0.061897855
LMN1;LMNA;RP11-54H19.1-,"Isoform A of Lamin-",P02545,3.36009619,0.119888358
TMSB;TPM2,"Isoform 2 of",P07951,3.356879215,0.058752784
LGALS3BP;M2BP,Galectin-3-binding,Q08380,3.355376144,0.064748925
AIF1;DADB-70P7.8-004;DAMC-,"Allograft inflammatory",P55008,3.351046057,0.100611969
RPL1;RPL4,"60S ribosomal protein",P36578,3.344344806,0.099235923
FAM10A1;HIP;SNC6;ST13;AAG2;h,Hsc70-interacting,P50502,3.333728492,0.145281228
CYK18;KRT18;PIG46,"Keratin, type I",P05783,3.327735586,0.063460034
EWSR1;hCG_2010995;EWS;AC00,"Ewing sarcoma",Q01844,3.325653122,0.048436374
LTBP1,"latent transforming",Q14766,3.32034132,0.268034227
RPL19,"60S ribosomal protein",P84098,3.2744084,0.047715029
PHB;hCG_29613,Prohibitin;Putative,P35232,3.265431156,0.281950102
FUBP1,"cDNA FLJ53425, highly",Q96AE4,3.263895778,0.057737766
GLRX;GRX,Glutaredoxin-1,P35754,3.25924855,0.080533019
CSPG2;VCAN;DKFZp686K06110,"Isoform V0 of Versican",P13611,3.246674112,0.019171915
ANX2LG;CAL1L;CLP11;S100A10;h,"Protein S100-A10",P60903,3.242612093,0.11710207
ANT2;SLC25A5,"ADP/ATP translocase 2",P05141,3.23648328,0.236423155
ACIN1;ACINUS;KIAA0670;hCG_41,"Isoform 1 of Apoptotic",Q9UKV3,3.208733313,0.62884773
EFHD2;SWS1;RP3-467K16.3-002,"EF-hand domain-",Q96C19,3.196052027,0.127632604
MRLC2;MYL12B;MYLC2B;hCG_19,"Myosin regulatory light",O14950,3.156080418,0.092067102
BGN;SLRR1A;hCG_39567,Biglycan;Putative,P21810,3.155009408,0.091109747
NCL;hCG_33980,Nucleolin;cDNA,P19338,3.147012458,0.048077566
CBP1;CBP2;HSP47;PIG14;SERPIN,"Serpin H1;cDNA",P50454,3.145230843,0.141483262
CNN1,Calponin-1,P51911,3.144043368,0.089729704
APOC1;APOC1B;hCG_22139,"Apolipoprotein C-I",P02654,3.118614875,0.091689105
EMI;EMILIN1,EMILIN-1,Q9Y6C2,3.105011086,0.080590597
DAAP-285E11.4-003;DADB-,"Tubulin, beta;cDNA",B4DY90,3.104066302,0.0770218
YWHAB,"Isoform Long of 14-3-3",P31946,3.08119158,0.188938958
CD9;GIG2;MIC3;TSPAN29;hCG_21,"CD9 antigen;Putative",P21926,3.0800184,0.062087475
ECHS1,"Enoyl-CoA hydratase,",P30084,3.064585031,0.558144413
HLAA;HLA-A,"HLA class I",P10316,3.049332739,0.013590927
YWHAZ,"14-3-3 protein",P63104,3.046849115,0.014556441
HSP60;HSPD1,"60 kDa heat shock",P10809,2.999317362,0.080484508
ON;SPARC;hCG_39149,"Secreted protein, acidic,",P09486,2.991673119,0.088954376
DKFZp686H17246;CLEC3B;TNA,Putative,P05452,2.972815514,0.117591087
RPLP1;RRP1,"60S acidic ribosomal",P05386,2.960327526,0.04020058
CD59;MIC11;MIN1;MIN2;MIN3;M,"CD59 glycoprotein",P13987,2.952316808,0.123155266
ASPN;PLAP1;SLRR1C;UNQ215/PR,"ASPN protein;Putative",Q9BXN1,2.935119591,0.114656081
HLAB;HLA-B,"HLA class I",P10319,2.932331339,0.437180518
RPS27A;UBA80;UBCEP1;hCG_198,"ubiquitin and ribosomal",P62979,2.911082459,0.008380958
KIAA0035;NOLC1;NS5ATP13;hCG,"Isoform Beta of",Q14978,2.907931802,0.192683797
H2BFD;HIST1H2BN;H2BFA;H2BFG,"Histone H2B;Histone",Q99877,2.899891434,0.044547584
RPL6;TXREB1,"60S ribosomal protein",Q02878,2.875886335,0.293505981
AHNAK;PM227,Neuroblast,Q09666,2.863644533,0.065033591
NDUFAB1,"Acyl carrier protein,",O14561,2.858651391,0.146698471
hCG_1811178;PTPRC;RP11-,"Protein tyrosine",P08575,2.853034988,0.354029189
FNRB;ITGB1;MDF2;MSK12;hCG_2,"Isoform Beta-1A of",P05556,2.838890865,0.101131624
TPD52;PrLZ,"Isoform 3 of Tumor",P55327,2.834472735,0.089248647
,"37 kDa protein",NA,2.805522203,0.069381908
ENO1;ENO1L1;MBPB1;MPB1,"Isoform alpha-enolase",P06733,2.800182834,0.080026159
CD39;ENTPD1;hCG_24651,ectonucleoside,P49961,2.800114608,0.1332212
C14orf123;CDA04;CHMP4A;HSPC,"charged multivesicular",Q9BY43,2.739826266,0.672697735
DBN1;D0S117E;hCG_2039393,Putative,Q16643,2.730109964,0.121085102
CPSD;CTSD,"Cathepsin D;Putative",P07339,2.724339342,0.10085108
ARH12;ARHA;RHO12;RHOA;RHOC,"Transforming protein",P61586,2.717198302,0.104957234
DNAJB11;EDJ;ERJ3;HDJ9;PSEC012,"DnaJ homolog subfamily",Q9UBS4,2.71097538,0.122751569
CAMP;CAP18;FALL39;HSD26,Cathelicidin,P49913,2.695891512,0.451160036
HSP27;HSP28;HSPB1,"Heat shock protein beta-",P04792,2.674536855,0.107591615
H2AFY;MACROH2A1,"Isoform 2 of Core",O75367,2.657574748,0.143877366
ACTB;hCG_15971;PS1TP5BP1;AC,"Beta actin variant",P60709,2.642329821,0.041523791
SM22;TAGLN;WS3-,Transgelin;Transgelin,Q01995,2.636052655,0.085879686
LDC;LUM;SLRR2D,"Lumican;23 kDa",P51884,2.634681048,0.097042455
BAF;BANF1;BCRG1,Barrier-to-,O75531,2.631795413,0.005362889
DBI;hCG_17322,"Diazepam binding",P07108,2.624760876,0.093977704
ABI3BP;NESHBP;TARSH,"Target of Nesh-SH3",Q7Z7G0,2.612590528,0.147959463
A2MRAP;LRPAP1;hCG_20627,Alpha-2-macroglobulin,P30533,2.582705338,0.177028225
LTBP4,"Isoform 1 of Latent-",Q8N2S1,2.570993563,0.549496325
KIAA0886;My043;NOGO;RTN4;SP,"Isoform 1 of Reticulon-",Q9NQC3,2.560560108,0.172448799
MATR3;KIAA0723;hCG_1981097;,Putative,P43243,2.560499887,0.131925115
CLIM1;CLP36;PDLIM1,"PDZ and LIM domain",O00151,2.539843026,0.154844812
FKBP13;FKBP2;hCG_21364,"Peptidyl-prolyl cis-trans",P26885,2.53910647,0.124722741
CORO1B;DKFZp762I166,Coronin-1B,Q9BR76,2.537188822,0.069843984
